HOG	OG	Gene Tree Parent Clade	19222_Sid_GoodCoral_500lnThresh_Final	29422_past_LongestContig_suffixed
N0.HOG0000011	OG0000000	n55	Siderastrea_Mexico_Barshis-Radice_Host_contig08444, Siderastrea_Mexico_Barshis-Radice_Host_contig18513, Siderastrea_Mexico_Barshis-Radice_Host_contig12173, Siderastrea_Mexico_Barshis-Radice_Host_contig08715, Siderastrea_Mexico_Barshis-Radice_Host_contig15133, Siderastrea_Mexico_Barshis-Radice_Host_contig17104, Siderastrea_Mexico_Barshis-Radice_Host_contig14269, Siderastrea_Mexico_Barshis-Radice_Host_contig15925, Siderastrea_Mexico_Barshis-Radice_Host_contig09720, Siderastrea_Mexico_Barshis-Radice_Host_contig14284, Siderastrea_Mexico_Barshis-Radice_Host_contig18284, Siderastrea_Mexico_Barshis-Radice_Host_contig00246, Siderastrea_Mexico_Barshis-Radice_Host_contig17861, Siderastrea_Mexico_Barshis-Radice_Host_contig18187, Siderastrea_Mexico_Barshis-Radice_Host_contig18740, Siderastrea_Mexico_Barshis-Radice_Host_contig15914, Siderastrea_Mexico_Barshis-Radice_Host_contig09127, Siderastrea_Mexico_Barshis-Radice_Host_contig15760, Siderastrea_Mexico_Barshis-Radice_Host_contig17257, Siderastrea_Mexico_Barshis-Radice_Host_contig08785, Siderastrea_Mexico_Barshis-Radice_Host_contig01304, Siderastrea_Mexico_Barshis-Radice_Host_contig08239, Siderastrea_Mexico_Barshis-Radice_Host_contig03471, Siderastrea_Mexico_Barshis-Radice_Host_contig03080, Siderastrea_Mexico_Barshis-Radice_Host_contig04132, Siderastrea_Mexico_Barshis-Radice_Host_contig15185, Siderastrea_Mexico_Barshis-Radice_Host_contig09348, Siderastrea_Mexico_Barshis-Radice_Host_contig16867, Siderastrea_Mexico_Barshis-Radice_Host_contig16452, Siderastrea_Mexico_Barshis-Radice_Host_contig02477, Siderastrea_Mexico_Barshis-Radice_Host_contig10880, Siderastrea_Mexico_Barshis-Radice_Host_contig16902, Siderastrea_Mexico_Barshis-Radice_Host_contig02908, Siderastrea_Mexico_Barshis-Radice_Host_contig13667, Siderastrea_Mexico_Barshis-Radice_Host_contig02783, Siderastrea_Mexico_Barshis-Radice_Host_contig12100, Siderastrea_Mexico_Barshis-Radice_Host_contig16805, Siderastrea_Mexico_Barshis-Radice_Host_contig07665, Siderastrea_Mexico_Barshis-Radice_Host_contig05224, Siderastrea_Mexico_Barshis-Radice_Host_contig01615, Siderastrea_Mexico_Barshis-Radice_Host_contig15204, Siderastrea_Mexico_Barshis-Radice_Host_contig15782, Siderastrea_Mexico_Barshis-Radice_Host_contig15301, Siderastrea_Mexico_Barshis-Radice_Host_contig14138, Siderastrea_Mexico_Barshis-Radice_Host_contig13691, Siderastrea_Mexico_Barshis-Radice_Host_contig03723, Siderastrea_Mexico_Barshis-Radice_Host_contig06540, Siderastrea_Mexico_Barshis-Radice_Host_contig11210, Siderastrea_Mexico_Barshis-Radice_Host_contig04929, Siderastrea_Mexico_Barshis-Radice_Host_contig07646, Siderastrea_Mexico_Barshis-Radice_Host_contig15799, Siderastrea_Mexico_Barshis-Radice_Host_contig16010, Siderastrea_Mexico_Barshis-Radice_Host_contig03261, Siderastrea_Mexico_Barshis-Radice_Host_contig11775, Siderastrea_Mexico_Barshis-Radice_Host_contig06613, Siderastrea_Mexico_Barshis-Radice_Host_contig16552	
N0.HOG0000012	OG0000000	n110	Siderastrea_Mexico_Barshis-Radice_Host_contig05727, Siderastrea_Mexico_Barshis-Radice_Host_contig14065, Siderastrea_Mexico_Barshis-Radice_Host_contig16038, Siderastrea_Mexico_Barshis-Radice_Host_contig12896, Siderastrea_Mexico_Barshis-Radice_Host_contig07562, Siderastrea_Mexico_Barshis-Radice_Host_contig17480, Siderastrea_Mexico_Barshis-Radice_Host_contig05144, Siderastrea_Mexico_Barshis-Radice_Host_contig00128, Siderastrea_Mexico_Barshis-Radice_Host_contig08480, Siderastrea_Mexico_Barshis-Radice_Host_contig14080, Siderastrea_Mexico_Barshis-Radice_Host_contig07194, Siderastrea_Mexico_Barshis-Radice_Host_contig06703, Siderastrea_Mexico_Barshis-Radice_Host_contig15041, Siderastrea_Mexico_Barshis-Radice_Host_contig04962, Siderastrea_Mexico_Barshis-Radice_Host_contig17522, Siderastrea_Mexico_Barshis-Radice_Host_contig03023, Siderastrea_Mexico_Barshis-Radice_Host_contig05012, Siderastrea_Mexico_Barshis-Radice_Host_contig00083, Siderastrea_Mexico_Barshis-Radice_Host_contig00140, Siderastrea_Mexico_Barshis-Radice_Host_contig10145, Siderastrea_Mexico_Barshis-Radice_Host_contig13099, Siderastrea_Mexico_Barshis-Radice_Host_contig12021, Siderastrea_Mexico_Barshis-Radice_Host_contig10639, Siderastrea_Mexico_Barshis-Radice_Host_contig03064, Siderastrea_Mexico_Barshis-Radice_Host_contig02098, Siderastrea_Mexico_Barshis-Radice_Host_contig05436, Siderastrea_Mexico_Barshis-Radice_Host_contig17017, Siderastrea_Mexico_Barshis-Radice_Host_contig13701, Siderastrea_Mexico_Barshis-Radice_Host_contig02703, Siderastrea_Mexico_Barshis-Radice_Host_contig01699, Siderastrea_Mexico_Barshis-Radice_Host_contig02674, Siderastrea_Mexico_Barshis-Radice_Host_contig11533, Siderastrea_Mexico_Barshis-Radice_Host_contig14777, Siderastrea_Mexico_Barshis-Radice_Host_contig16657, Siderastrea_Mexico_Barshis-Radice_Host_contig10327, Siderastrea_Mexico_Barshis-Radice_Host_contig16364, Siderastrea_Mexico_Barshis-Radice_Host_contig08648, Siderastrea_Mexico_Barshis-Radice_Host_contig01556, Siderastrea_Mexico_Barshis-Radice_Host_contig14443	isotig31942_Past
N0.HOG0000013	OG0000001	n1	Siderastrea_Mexico_Barshis-Radice_Host_contig15028, Siderastrea_Mexico_Barshis-Radice_Host_contig15780, Siderastrea_Mexico_Barshis-Radice_Host_contig06183	isotig08204_Past
N0.HOG0000014	OG0000001	n6	Siderastrea_Mexico_Barshis-Radice_Host_contig14593	GE911455_Past
N0.HOG0000015	OG0000001	n8	Siderastrea_Mexico_Barshis-Radice_Host_contig17989, Siderastrea_Mexico_Barshis-Radice_Host_contig01183, Siderastrea_Mexico_Barshis-Radice_Host_contig08240, Siderastrea_Mexico_Barshis-Radice_Host_contig01261, Siderastrea_Mexico_Barshis-Radice_Host_contig13196	
N0.HOG0000016	OG0000001	n13	Siderastrea_Mexico_Barshis-Radice_Host_contig06756, Siderastrea_Mexico_Barshis-Radice_Host_contig05454	
N0.HOG0000017	OG0000001	n15	Siderastrea_Mexico_Barshis-Radice_Host_contig03162, Siderastrea_Mexico_Barshis-Radice_Host_contig02656, Siderastrea_Mexico_Barshis-Radice_Host_contig11462, Siderastrea_Mexico_Barshis-Radice_Host_contig16455, Siderastrea_Mexico_Barshis-Radice_Host_contig08422	
N0.HOG0000018	OG0000001	n20	Siderastrea_Mexico_Barshis-Radice_Host_contig04438, Siderastrea_Mexico_Barshis-Radice_Host_contig05496, Siderastrea_Mexico_Barshis-Radice_Host_contig06711, Siderastrea_Mexico_Barshis-Radice_Host_contig11627	
N0.HOG0000019	OG0000001	n24	Siderastrea_Mexico_Barshis-Radice_Host_contig15334, Siderastrea_Mexico_Barshis-Radice_Host_contig09067, Siderastrea_Mexico_Barshis-Radice_Host_contig00700, Siderastrea_Mexico_Barshis-Radice_Host_contig10407, Siderastrea_Mexico_Barshis-Radice_Host_contig03634, Siderastrea_Mexico_Barshis-Radice_Host_contig05568, Siderastrea_Mexico_Barshis-Radice_Host_contig03319, Siderastrea_Mexico_Barshis-Radice_Host_contig07799, Siderastrea_Mexico_Barshis-Radice_Host_contig11500, Siderastrea_Mexico_Barshis-Radice_Host_contig03987, Siderastrea_Mexico_Barshis-Radice_Host_contig11847, Siderastrea_Mexico_Barshis-Radice_Host_contig11657, Siderastrea_Mexico_Barshis-Radice_Host_contig13520, Siderastrea_Mexico_Barshis-Radice_Host_contig04534, Siderastrea_Mexico_Barshis-Radice_Host_contig15771	isotig16036_Past
N0.HOG0000020	OG0000001	n39	Siderastrea_Mexico_Barshis-Radice_Host_contig08403, Siderastrea_Mexico_Barshis-Radice_Host_contig13787, Siderastrea_Mexico_Barshis-Radice_Host_contig13289, Siderastrea_Mexico_Barshis-Radice_Host_contig02344, Siderastrea_Mexico_Barshis-Radice_Host_contig00503, Siderastrea_Mexico_Barshis-Radice_Host_contig05425, Siderastrea_Mexico_Barshis-Radice_Host_contig08650, Siderastrea_Mexico_Barshis-Radice_Host_contig19254, Siderastrea_Mexico_Barshis-Radice_Host_contig17676, Siderastrea_Mexico_Barshis-Radice_Host_contig12921, Siderastrea_Mexico_Barshis-Radice_Host_contig15340, Siderastrea_Mexico_Barshis-Radice_Host_contig14614, Siderastrea_Mexico_Barshis-Radice_Host_contig01284, Siderastrea_Mexico_Barshis-Radice_Host_contig10112, Siderastrea_Mexico_Barshis-Radice_Host_contig10908, Siderastrea_Mexico_Barshis-Radice_Host_contig09316, Siderastrea_Mexico_Barshis-Radice_Host_contig19088, Siderastrea_Mexico_Barshis-Radice_Host_contig01453, Siderastrea_Mexico_Barshis-Radice_Host_contig13952, Siderastrea_Mexico_Barshis-Radice_Host_contig04796, Siderastrea_Mexico_Barshis-Radice_Host_contig12622, Siderastrea_Mexico_Barshis-Radice_Host_contig17295, Siderastrea_Mexico_Barshis-Radice_Host_contig14168, Siderastrea_Mexico_Barshis-Radice_Host_contig06096, Siderastrea_Mexico_Barshis-Radice_Host_contig01562, Siderastrea_Mexico_Barshis-Radice_Host_contig03298, Siderastrea_Mexico_Barshis-Radice_Host_contig19136, Siderastrea_Mexico_Barshis-Radice_Host_contig07901, Siderastrea_Mexico_Barshis-Radice_Host_contig17099, Siderastrea_Mexico_Barshis-Radice_Host_contig00262, Siderastrea_Mexico_Barshis-Radice_Host_contig06252, Siderastrea_Mexico_Barshis-Radice_Host_contig00800, Siderastrea_Mexico_Barshis-Radice_Host_contig12955, Siderastrea_Mexico_Barshis-Radice_Host_contig04337, Siderastrea_Mexico_Barshis-Radice_Host_contig17661, Siderastrea_Mexico_Barshis-Radice_Host_contig06941, Siderastrea_Mexico_Barshis-Radice_Host_contig16996, Siderastrea_Mexico_Barshis-Radice_Host_contig13883, Siderastrea_Mexico_Barshis-Radice_Host_contig07293, Siderastrea_Mexico_Barshis-Radice_Host_contig14917, Siderastrea_Mexico_Barshis-Radice_Host_contig08061, Siderastrea_Mexico_Barshis-Radice_Host_contig12114, Siderastrea_Mexico_Barshis-Radice_Host_contig05036, Siderastrea_Mexico_Barshis-Radice_Host_contig02915, Siderastrea_Mexico_Barshis-Radice_Host_contig06290, Siderastrea_Mexico_Barshis-Radice_Host_contig09287, Siderastrea_Mexico_Barshis-Radice_Host_contig10135, Siderastrea_Mexico_Barshis-Radice_Host_contig16793, Siderastrea_Mexico_Barshis-Radice_Host_contig12551, Siderastrea_Mexico_Barshis-Radice_Host_contig10291, Siderastrea_Mexico_Barshis-Radice_Host_contig10843, Siderastrea_Mexico_Barshis-Radice_Host_contig06318, Siderastrea_Mexico_Barshis-Radice_Host_contig05625, Siderastrea_Mexico_Barshis-Radice_Host_contig16703, Siderastrea_Mexico_Barshis-Radice_Host_contig03815, Siderastrea_Mexico_Barshis-Radice_Host_contig10275, Siderastrea_Mexico_Barshis-Radice_Host_contig05173, Siderastrea_Mexico_Barshis-Radice_Host_contig01689, Siderastrea_Mexico_Barshis-Radice_Host_contig00230, Siderastrea_Mexico_Barshis-Radice_Host_contig08064, Siderastrea_Mexico_Barshis-Radice_Host_contig09020, Siderastrea_Mexico_Barshis-Radice_Host_contig15947, Siderastrea_Mexico_Barshis-Radice_Host_contig12845, Siderastrea_Mexico_Barshis-Radice_Host_contig02919, Siderastrea_Mexico_Barshis-Radice_Host_contig06977, Siderastrea_Mexico_Barshis-Radice_Host_contig15158, Siderastrea_Mexico_Barshis-Radice_Host_contig16830, Siderastrea_Mexico_Barshis-Radice_Host_contig09259, Siderastrea_Mexico_Barshis-Radice_Host_contig01804, Siderastrea_Mexico_Barshis-Radice_Host_contig11101, Siderastrea_Mexico_Barshis-Radice_Host_contig11178, Siderastrea_Mexico_Barshis-Radice_Host_contig14413, Siderastrea_Mexico_Barshis-Radice_Host_contig09213, Siderastrea_Mexico_Barshis-Radice_Host_contig04274, Siderastrea_Mexico_Barshis-Radice_Host_contig16749, Siderastrea_Mexico_Barshis-Radice_Host_contig01319, Siderastrea_Mexico_Barshis-Radice_Host_contig01104, Siderastrea_Mexico_Barshis-Radice_Host_contig03565, Siderastrea_Mexico_Barshis-Radice_Host_contig02297, Siderastrea_Mexico_Barshis-Radice_Host_contig07271, Siderastrea_Mexico_Barshis-Radice_Host_contig02949, Siderastrea_Mexico_Barshis-Radice_Host_contig10178, Siderastrea_Mexico_Barshis-Radice_Host_contig00677, Siderastrea_Mexico_Barshis-Radice_Host_contig08571, Siderastrea_Mexico_Barshis-Radice_Host_contig13568, Siderastrea_Mexico_Barshis-Radice_Host_contig07448	isotig05153_Past
N0.HOG0000021	OG0000002	n1	Siderastrea_Mexico_Barshis-Radice_Host_contig01680, Siderastrea_Mexico_Barshis-Radice_Host_contig13278, Siderastrea_Mexico_Barshis-Radice_Host_contig03912	isotig08166_Past
N0.HOG0000022	OG0000002	n4	Siderastrea_Mexico_Barshis-Radice_Host_contig18156, Siderastrea_Mexico_Barshis-Radice_Host_contig00046, Siderastrea_Mexico_Barshis-Radice_Host_contig12520, Siderastrea_Mexico_Barshis-Radice_Host_contig16628, Siderastrea_Mexico_Barshis-Radice_Host_contig15462, Siderastrea_Mexico_Barshis-Radice_Host_contig14684, Siderastrea_Mexico_Barshis-Radice_Host_contig15663, Siderastrea_Mexico_Barshis-Radice_Host_contig08511, Siderastrea_Mexico_Barshis-Radice_Host_contig01235, Siderastrea_Mexico_Barshis-Radice_Host_contig12708, Siderastrea_Mexico_Barshis-Radice_Host_contig00089, Siderastrea_Mexico_Barshis-Radice_Host_contig17542, Siderastrea_Mexico_Barshis-Radice_Host_contig05369, Siderastrea_Mexico_Barshis-Radice_Host_contig04111, Siderastrea_Mexico_Barshis-Radice_Host_contig18067, Siderastrea_Mexico_Barshis-Radice_Host_contig08434, Siderastrea_Mexico_Barshis-Radice_Host_contig04148, Siderastrea_Mexico_Barshis-Radice_Host_contig10438, Siderastrea_Mexico_Barshis-Radice_Host_contig04245, Siderastrea_Mexico_Barshis-Radice_Host_contig11457, Siderastrea_Mexico_Barshis-Radice_Host_contig17315, Siderastrea_Mexico_Barshis-Radice_Host_contig18032, Siderastrea_Mexico_Barshis-Radice_Host_contig16129, Siderastrea_Mexico_Barshis-Radice_Host_contig15721, Siderastrea_Mexico_Barshis-Radice_Host_contig14788, Siderastrea_Mexico_Barshis-Radice_Host_contig17073, Siderastrea_Mexico_Barshis-Radice_Host_contig17135, Siderastrea_Mexico_Barshis-Radice_Host_contig05254, Siderastrea_Mexico_Barshis-Radice_Host_contig05569, Siderastrea_Mexico_Barshis-Radice_Host_contig01710, Siderastrea_Mexico_Barshis-Radice_Host_contig03934, Siderastrea_Mexico_Barshis-Radice_Host_contig15714, Siderastrea_Mexico_Barshis-Radice_Host_contig18743, Siderastrea_Mexico_Barshis-Radice_Host_contig10382, Siderastrea_Mexico_Barshis-Radice_Host_contig08284, Siderastrea_Mexico_Barshis-Radice_Host_contig03561, Siderastrea_Mexico_Barshis-Radice_Host_contig10963, Siderastrea_Mexico_Barshis-Radice_Host_contig18504, Siderastrea_Mexico_Barshis-Radice_Host_contig15596, Siderastrea_Mexico_Barshis-Radice_Host_contig12096, Siderastrea_Mexico_Barshis-Radice_Host_contig05734, Siderastrea_Mexico_Barshis-Radice_Host_contig14523, Siderastrea_Mexico_Barshis-Radice_Host_contig13001, Siderastrea_Mexico_Barshis-Radice_Host_contig14248, Siderastrea_Mexico_Barshis-Radice_Host_contig02078, Siderastrea_Mexico_Barshis-Radice_Host_contig14263, Siderastrea_Mexico_Barshis-Radice_Host_contig08543, Siderastrea_Mexico_Barshis-Radice_Host_contig01473, Siderastrea_Mexico_Barshis-Radice_Host_contig00088, Siderastrea_Mexico_Barshis-Radice_Host_contig17561, Siderastrea_Mexico_Barshis-Radice_Host_contig13092, Siderastrea_Mexico_Barshis-Radice_Host_contig09071, Siderastrea_Mexico_Barshis-Radice_Host_contig15642, Siderastrea_Mexico_Barshis-Radice_Host_contig01030, Siderastrea_Mexico_Barshis-Radice_Host_contig15341, Siderastrea_Mexico_Barshis-Radice_Host_contig11648, Siderastrea_Mexico_Barshis-Radice_Host_contig01942, Siderastrea_Mexico_Barshis-Radice_Host_contig11153, Siderastrea_Mexico_Barshis-Radice_Host_contig13502, Siderastrea_Mexico_Barshis-Radice_Host_contig06859, Siderastrea_Mexico_Barshis-Radice_Host_contig03301, Siderastrea_Mexico_Barshis-Radice_Host_contig15766, Siderastrea_Mexico_Barshis-Radice_Host_contig09920, Siderastrea_Mexico_Barshis-Radice_Host_contig05311, Siderastrea_Mexico_Barshis-Radice_Host_contig09400, Siderastrea_Mexico_Barshis-Radice_Host_contig18354, Siderastrea_Mexico_Barshis-Radice_Host_contig03450, Siderastrea_Mexico_Barshis-Radice_Host_contig16329, Siderastrea_Mexico_Barshis-Radice_Host_contig17626, Siderastrea_Mexico_Barshis-Radice_Host_contig17642, Siderastrea_Mexico_Barshis-Radice_Host_contig05999, Siderastrea_Mexico_Barshis-Radice_Host_contig18845, Siderastrea_Mexico_Barshis-Radice_Host_contig09427, Siderastrea_Mexico_Barshis-Radice_Host_contig13741, Siderastrea_Mexico_Barshis-Radice_Host_contig18687, Siderastrea_Mexico_Barshis-Radice_Host_contig01082, Siderastrea_Mexico_Barshis-Radice_Host_contig13414, Siderastrea_Mexico_Barshis-Radice_Host_contig07376, Siderastrea_Mexico_Barshis-Radice_Host_contig01160, Siderastrea_Mexico_Barshis-Radice_Host_contig06015, Siderastrea_Mexico_Barshis-Radice_Host_contig09442, Siderastrea_Mexico_Barshis-Radice_Host_contig17835, Siderastrea_Mexico_Barshis-Radice_Host_contig06227, Siderastrea_Mexico_Barshis-Radice_Host_contig18467, Siderastrea_Mexico_Barshis-Radice_Host_contig07328, Siderastrea_Mexico_Barshis-Radice_Host_contig02615, Siderastrea_Mexico_Barshis-Radice_Host_contig06840, Siderastrea_Mexico_Barshis-Radice_Host_contig07610, Siderastrea_Mexico_Barshis-Radice_Host_contig13971, Siderastrea_Mexico_Barshis-Radice_Host_contig19007, Siderastrea_Mexico_Barshis-Radice_Host_contig03683, Siderastrea_Mexico_Barshis-Radice_Host_contig00523, Siderastrea_Mexico_Barshis-Radice_Host_contig10133, Siderastrea_Mexico_Barshis-Radice_Host_contig12599, Siderastrea_Mexico_Barshis-Radice_Host_contig03775, Siderastrea_Mexico_Barshis-Radice_Host_contig14147, Siderastrea_Mexico_Barshis-Radice_Host_contig00662, Siderastrea_Mexico_Barshis-Radice_Host_contig02286, Siderastrea_Mexico_Barshis-Radice_Host_contig12557, Siderastrea_Mexico_Barshis-Radice_Host_contig19121, Siderastrea_Mexico_Barshis-Radice_Host_contig05379, Siderastrea_Mexico_Barshis-Radice_Host_contig13114, Siderastrea_Mexico_Barshis-Radice_Host_contig06458, Siderastrea_Mexico_Barshis-Radice_Host_contig02381, Siderastrea_Mexico_Barshis-Radice_Host_contig15418, Siderastrea_Mexico_Barshis-Radice_Host_contig14851, Siderastrea_Mexico_Barshis-Radice_Host_contig05292, Siderastrea_Mexico_Barshis-Radice_Host_contig06483, Siderastrea_Mexico_Barshis-Radice_Host_contig00442, Siderastrea_Mexico_Barshis-Radice_Host_contig03882, Siderastrea_Mexico_Barshis-Radice_Host_contig12170, Siderastrea_Mexico_Barshis-Radice_Host_contig17101, Siderastrea_Mexico_Barshis-Radice_Host_contig13397, Siderastrea_Mexico_Barshis-Radice_Host_contig04100, Siderastrea_Mexico_Barshis-Radice_Host_contig02528, Siderastrea_Mexico_Barshis-Radice_Host_contig09602, Siderastrea_Mexico_Barshis-Radice_Host_contig01513, Siderastrea_Mexico_Barshis-Radice_Host_contig06726, Siderastrea_Mexico_Barshis-Radice_Host_contig06432	isotig16097_Past
N0.HOG0000023	OG0000003	n1	Siderastrea_Mexico_Barshis-Radice_Host_contig05917	isotig01016_Past
