Orthogroup	29422_past_LongestContig_suffixed	19222_Sid_GoodCoral_500lnThresh_Final
OG0000003	isotig01016_Past	Siderastrea_Mexico_Barshis-Radice_Host_contig05917
OG0000003	isotig05156_Past	Siderastrea_Mexico_Barshis-Radice_Host_contig18366, Siderastrea_Mexico_Barshis-Radice_Host_contig14795, Siderastrea_Mexico_Barshis-Radice_Host_contig19141, Siderastrea_Mexico_Barshis-Radice_Host_contig01391, Siderastrea_Mexico_Barshis-Radice_Host_contig16093, Siderastrea_Mexico_Barshis-Radice_Host_contig10303, Siderastrea_Mexico_Barshis-Radice_Host_contig12876, Siderastrea_Mexico_Barshis-Radice_Host_contig04257, Siderastrea_Mexico_Barshis-Radice_Host_contig04947, Siderastrea_Mexico_Barshis-Radice_Host_contig06567, Siderastrea_Mexico_Barshis-Radice_Host_contig15624, Siderastrea_Mexico_Barshis-Radice_Host_contig13937, Siderastrea_Mexico_Barshis-Radice_Host_contig04322, Siderastrea_Mexico_Barshis-Radice_Host_contig09040, Siderastrea_Mexico_Barshis-Radice_Host_contig14312, Siderastrea_Mexico_Barshis-Radice_Host_contig09426, Siderastrea_Mexico_Barshis-Radice_Host_contig00994, Siderastrea_Mexico_Barshis-Radice_Host_contig11422, Siderastrea_Mexico_Barshis-Radice_Host_contig05652, Siderastrea_Mexico_Barshis-Radice_Host_contig08387, Siderastrea_Mexico_Barshis-Radice_Host_contig04895, Siderastrea_Mexico_Barshis-Radice_Host_contig12647, Siderastrea_Mexico_Barshis-Radice_Host_contig16525, Siderastrea_Mexico_Barshis-Radice_Host_contig04236, Siderastrea_Mexico_Barshis-Radice_Host_contig07059, Siderastrea_Mexico_Barshis-Radice_Host_contig14686, Siderastrea_Mexico_Barshis-Radice_Host_contig18115, Siderastrea_Mexico_Barshis-Radice_Host_contig01286, Siderastrea_Mexico_Barshis-Radice_Host_contig16169, Siderastrea_Mexico_Barshis-Radice_Host_contig12370, Siderastrea_Mexico_Barshis-Radice_Host_contig01678, Siderastrea_Mexico_Barshis-Radice_Host_contig02430, Siderastrea_Mexico_Barshis-Radice_Host_contig07770, Siderastrea_Mexico_Barshis-Radice_Host_contig08558, Siderastrea_Mexico_Barshis-Radice_Host_contig07653, Siderastrea_Mexico_Barshis-Radice_Host_contig18048, Siderastrea_Mexico_Barshis-Radice_Host_contig17684, Siderastrea_Mexico_Barshis-Radice_Host_contig09529, Siderastrea_Mexico_Barshis-Radice_Host_contig09622, Siderastrea_Mexico_Barshis-Radice_Host_contig15152, Siderastrea_Mexico_Barshis-Radice_Host_contig18990, Siderastrea_Mexico_Barshis-Radice_Host_contig01171, Siderastrea_Mexico_Barshis-Radice_Host_contig13566, Siderastrea_Mexico_Barshis-Radice_Host_contig06884, Siderastrea_Mexico_Barshis-Radice_Host_contig03242, Siderastrea_Mexico_Barshis-Radice_Host_contig01968, Siderastrea_Mexico_Barshis-Radice_Host_contig02183, Siderastrea_Mexico_Barshis-Radice_Host_contig03527, Siderastrea_Mexico_Barshis-Radice_Host_contig14731, Siderastrea_Mexico_Barshis-Radice_Host_contig02635, Siderastrea_Mexico_Barshis-Radice_Host_contig05420, Siderastrea_Mexico_Barshis-Radice_Host_contig06662, Siderastrea_Mexico_Barshis-Radice_Host_contig08314, Siderastrea_Mexico_Barshis-Radice_Host_contig18178, Siderastrea_Mexico_Barshis-Radice_Host_contig15046, Siderastrea_Mexico_Barshis-Radice_Host_contig09132, Siderastrea_Mexico_Barshis-Radice_Host_contig07689, Siderastrea_Mexico_Barshis-Radice_Host_contig15312, Siderastrea_Mexico_Barshis-Radice_Host_contig00136, Siderastrea_Mexico_Barshis-Radice_Host_contig02749, Siderastrea_Mexico_Barshis-Radice_Host_contig01093, Siderastrea_Mexico_Barshis-Radice_Host_contig13141, Siderastrea_Mexico_Barshis-Radice_Host_contig15555, Siderastrea_Mexico_Barshis-Radice_Host_contig11872, Siderastrea_Mexico_Barshis-Radice_Host_contig11707, Siderastrea_Mexico_Barshis-Radice_Host_contig18647, Siderastrea_Mexico_Barshis-Radice_Host_contig06083, Siderastrea_Mexico_Barshis-Radice_Host_contig08057, Siderastrea_Mexico_Barshis-Radice_Host_contig19120, Siderastrea_Mexico_Barshis-Radice_Host_contig12261, Siderastrea_Mexico_Barshis-Radice_Host_contig08021, Siderastrea_Mexico_Barshis-Radice_Host_contig04734, Siderastrea_Mexico_Barshis-Radice_Host_contig06811, Siderastrea_Mexico_Barshis-Radice_Host_contig00458, Siderastrea_Mexico_Barshis-Radice_Host_contig06010, Siderastrea_Mexico_Barshis-Radice_Host_contig11315, Siderastrea_Mexico_Barshis-Radice_Host_contig11722, Siderastrea_Mexico_Barshis-Radice_Host_contig05924, Siderastrea_Mexico_Barshis-Radice_Host_contig18839, Siderastrea_Mexico_Barshis-Radice_Host_contig16448, Siderastrea_Mexico_Barshis-Radice_Host_contig07379, Siderastrea_Mexico_Barshis-Radice_Host_contig00541, Siderastrea_Mexico_Barshis-Radice_Host_contig05223, Siderastrea_Mexico_Barshis-Radice_Host_contig06270, Siderastrea_Mexico_Barshis-Radice_Host_contig08995, Siderastrea_Mexico_Barshis-Radice_Host_contig08780, Siderastrea_Mexico_Barshis-Radice_Host_contig11021, Siderastrea_Mexico_Barshis-Radice_Host_contig06528, Siderastrea_Mexico_Barshis-Radice_Host_contig16177, Siderastrea_Mexico_Barshis-Radice_Host_contig11656, Siderastrea_Mexico_Barshis-Radice_Host_contig05686, Siderastrea_Mexico_Barshis-Radice_Host_contig12273, Siderastrea_Mexico_Barshis-Radice_Host_contig01532, Siderastrea_Mexico_Barshis-Radice_Host_contig05293, Siderastrea_Mexico_Barshis-Radice_Host_contig03341, Siderastrea_Mexico_Barshis-Radice_Host_contig05187, Siderastrea_Mexico_Barshis-Radice_Host_contig15454, Siderastrea_Mexico_Barshis-Radice_Host_contig02811, Siderastrea_Mexico_Barshis-Radice_Host_contig16018, Siderastrea_Mexico_Barshis-Radice_Host_contig12597, Siderastrea_Mexico_Barshis-Radice_Host_contig09579, Siderastrea_Mexico_Barshis-Radice_Host_contig03199, Siderastrea_Mexico_Barshis-Radice_Host_contig08903, Siderastrea_Mexico_Barshis-Radice_Host_contig17233, Siderastrea_Mexico_Barshis-Radice_Host_contig14077, Siderastrea_Mexico_Barshis-Radice_Host_contig15981, Siderastrea_Mexico_Barshis-Radice_Host_contig15594, Siderastrea_Mexico_Barshis-Radice_Host_contig06761, Siderastrea_Mexico_Barshis-Radice_Host_contig12555, Siderastrea_Mexico_Barshis-Radice_Host_contig16560
OG0000005	isotig06415_Past	Siderastrea_Mexico_Barshis-Radice_Host_contig05747
OG0000005	isotig24428_Past	Siderastrea_Mexico_Barshis-Radice_Host_contig15025, Siderastrea_Mexico_Barshis-Radice_Host_contig09234, Siderastrea_Mexico_Barshis-Radice_Host_contig04974, Siderastrea_Mexico_Barshis-Radice_Host_contig11930, Siderastrea_Mexico_Barshis-Radice_Host_contig07793, Siderastrea_Mexico_Barshis-Radice_Host_contig17582, Siderastrea_Mexico_Barshis-Radice_Host_contig18477, Siderastrea_Mexico_Barshis-Radice_Host_contig13350, Siderastrea_Mexico_Barshis-Radice_Host_contig01306, Siderastrea_Mexico_Barshis-Radice_Host_contig09366, Siderastrea_Mexico_Barshis-Radice_Host_contig16601, Siderastrea_Mexico_Barshis-Radice_Host_contig09093, Siderastrea_Mexico_Barshis-Radice_Host_contig15554, Siderastrea_Mexico_Barshis-Radice_Host_contig07916, Siderastrea_Mexico_Barshis-Radice_Host_contig12875
OG0000005	isotig11575_Past	Siderastrea_Mexico_Barshis-Radice_Host_contig15993, Siderastrea_Mexico_Barshis-Radice_Host_contig07948, Siderastrea_Mexico_Barshis-Radice_Host_contig18552, Siderastrea_Mexico_Barshis-Radice_Host_contig06893, Siderastrea_Mexico_Barshis-Radice_Host_contig08345, Siderastrea_Mexico_Barshis-Radice_Host_contig12318, Siderastrea_Mexico_Barshis-Radice_Host_contig07484, Siderastrea_Mexico_Barshis-Radice_Host_contig12076, Siderastrea_Mexico_Barshis-Radice_Host_contig01465, Siderastrea_Mexico_Barshis-Radice_Host_contig17750, Siderastrea_Mexico_Barshis-Radice_Host_contig18380, Siderastrea_Mexico_Barshis-Radice_Host_contig13354, Siderastrea_Mexico_Barshis-Radice_Host_contig15894, Siderastrea_Mexico_Barshis-Radice_Host_contig07352, Siderastrea_Mexico_Barshis-Radice_Host_contig14209, Siderastrea_Mexico_Barshis-Radice_Host_contig17698
OG0000006	isotig04752_Past, isotig29939_Past, isotig09095_Past, isotig12844_Past	Siderastrea_Mexico_Barshis-Radice_Host_contig00281
OG0000006	isotig05005_Past, isotig06139_Past, isotig01650_Past, isotig15590_Past	Siderastrea_Mexico_Barshis-Radice_Host_contig10387
OG0000006	isotig28233_Past, isotig19998_Past, isotig03590_Past, isotig09304_Past, isotig29069_Past, isotig27642_Past, GE911046_Past, isotig18373_Past, isotig04276_Past, isotig15800_Past, isotig10210_Past, isotig15928_Past, isotig14786_Past, isotig09385_Past, isotig15391_Past, isotig09390_Past, isotig22209_Past	Siderastrea_Mexico_Barshis-Radice_Host_contig08894
OG0000006	GE908652_Past, isotig15188_Past	Siderastrea_Mexico_Barshis-Radice_Host_contig10370
OG0000006	GE915701_Past, isotig10040_Past, GE906329_Past, isotig05335_Past, isotig10180_Past, isotig23059_Past, isotig14067_Past	Siderastrea_Mexico_Barshis-Radice_Host_contig06751
OG0000007	isotig03530_Past, isotig29446_Past, isotig07685_Past	Siderastrea_Mexico_Barshis-Radice_Host_contig14374
OG0000007	isotig04709_Past, isotig25109_Past, isotig07463_Past, isotig07355_Past, isotig21233_Past, isotig04385_Past, isotig21695_Past, isotig19818_Past, isotig23690_Past, GE913249_Past, isotig18816_Past, isotig01712_Past, isotig04833_Past, isotig20098_Past, GE915016_Past, isotig25801_Past, GE912604_Past, isotig10698_Past, isotig12262_Past, isotig02098_Past, isotig04785_Past, isotig17045_Past, isotig23837_Past, isotig00758_Past, isotig14471_Past, isotig04760_Past, isotig24062_Past, isotig10184_Past, isotig01256_Past, GE911726_Past, GE913984_Past, isotig29867_Past, isotig01052_Past, isotig27144_Past, isotig08348_Past, isotig30420_Past, isotig26790_Past, isotig21419_Past, isotig09566_Past, GE913389_Past, isotig06272_Past	Siderastrea_Mexico_Barshis-Radice_Host_contig14179
OG0000008	isotig22620_Past, isotig05575_Past, isotig02055_Past, isotig17444_Past, isotig19805_Past, isotig07384_Past, isotig24623_Past, isotig25901_Past, isotig07396_Past, isotig32442_Past, isotig03724_Past, isotig09245_Past	Siderastrea_Mexico_Barshis-Radice_Host_contig00510, Siderastrea_Mexico_Barshis-Radice_Host_contig17881
OG0000008	isotig24360_Past, isotig18518_Past, isotig00955_Past, GE912984_Past, isotig24415_Past, isotig06015_Past, isotig02364_Past, isotig31086_Past, isotig04791_Past, GE912683_Past, GE913683_Past, isotig17681_Past, isotig24043_Past, isotig00620_Past, isotig17825_Past, isotig01400_Past, GE909926_Past, isotig14719_Past, isotig16424_Past, isotig24796_Past, isotig05008_Past, isotig27039_Past, isotig06882_Past, isotig27478_Past, isotig07176_Past, isotig21563_Past, GE907507_Past, GE912735_Past, isotig29293_Past	Siderastrea_Mexico_Barshis-Radice_Host_contig14791
OG0000009	isotig24571_Past	Siderastrea_Mexico_Barshis-Radice_Host_contig14938
