"","GO","term","ontology","n","GOMF","GOBP","GOCC"
"80","GO:0004713","protein tyrosine kinase activity","MF",1,NA,NA,NA
"81","GO:0004714","transmembrane receptor protein tyrosine kinase activity","MF",1,NA,NA,NA
"82","GO:0004842","ubiquitin-protein transferase activity","MF",1,NA,NA,NA
"83","GO:0005109","frizzled binding","MF",1,NA,NA,NA
"84","GO:0005178","integrin binding","MF",1,NA,NA,NA
"85","GO:0005198","structural molecule activity","MF",1,NA,NA,NA
"86","GO:0005518","collagen binding","MF",1,NA,NA,NA
"87","GO:0005544","calcium-dependent phospholipid binding","MF",1,NA,NA,NA
"88","GO:0005581","collagen trimer","CC",1,NA,NA,NA
"89","GO:0005730","nucleolus","CC",1,NA,NA,NA
"90","GO:0005739","mitochondrion","CC",1,NA,NA,NA
"91","GO:0005764","lysosome","CC",1,NA,NA,NA
"92","GO:0005768","endosome","CC",1,NA,NA,NA
"93","GO:0005770","late endosome","CC",1,NA,NA,NA
"94","GO:0005788","endoplasmic reticulum lumen","CC",1,NA,NA,NA
"95","GO:0005789","endoplasmic reticulum membrane","CC",1,NA,NA,NA
"96","GO:0005794","Golgi apparatus","CC",1,NA,NA,NA
"97","GO:0005815","microtubule organizing center","CC",1,NA,NA,NA
"98","GO:0005882","intermediate filament","CC",1,NA,NA,NA
"99","GO:0005901","caveola","CC",1,NA,NA,NA
"100","GO:0005938","cell cortex","CC",1,NA,NA,NA
"101","GO:0006325","chromatin organization","BP",1,NA,NA,NA
"102","GO:0006357","regulation of transcription by RNA polymerase II","BP",1,NA,NA,NA
"103","GO:0006412","translation","BP",1,NA,NA,NA
"104","GO:0006468","protein phosphorylation","BP",1,NA,NA,NA
"105","GO:0006508","proteolysis","BP",1,NA,NA,NA
"106","GO:0006574","valine catabolic process","BP",1,NA,NA,NA
"107","GO:0006869","lipid transport","BP",1,NA,NA,NA
"108","GO:0006897","endocytosis","BP",1,NA,NA,NA
"109","GO:0006915","apoptotic process","BP",1,NA,NA,NA
"110","GO:0007009","plasma membrane organization","BP",1,NA,NA,NA
"111","GO:0007010","cytoskeleton organization","BP",1,NA,NA,NA
"112","GO:0007049","cell cycle","BP",1,NA,NA,NA
"113","GO:0007160","cell-matrix adhesion","BP",1,NA,NA,NA
"114","GO:0007165","signal transduction","BP",1,NA,NA,NA
"115","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway","BP",1,NA,NA,NA
"116","GO:0007219","Notch signaling pathway","BP",1,NA,NA,NA
"117","GO:0007229","integrin-mediated signaling pathway","BP",1,NA,NA,NA
"118","GO:0007267","cell-cell signaling","BP",1,NA,NA,NA
"119","GO:0007283","spermatogenesis","BP",1,NA,NA,NA
"120","GO:0007346","regulation of mitotic cell cycle","BP",1,NA,NA,NA
"121","GO:0007507","heart development","BP",1,NA,NA,NA
"122","GO:0008015","blood circulation","BP",1,NA,NA,NA
"123","GO:0008090","retrograde axonal transport","BP",1,NA,NA,NA
"124","GO:0008284","positive regulation of cell population proliferation","BP",1,NA,NA,NA
"125","GO:0008307","structural constituent of muscle","MF",1,NA,NA,NA
"126","GO:0009611","response to wounding","BP",1,NA,NA,NA
"127","GO:0009897","external side of plasma membrane","CC",1,NA,NA,NA
"128","GO:0009952","anterior/posterior pattern specification","BP",1,NA,NA,NA
"129","GO:0009966","regulation of signal transduction","BP",1,NA,NA,NA
"130","GO:0010494","cytoplasmic stress granule","CC",1,NA,NA,NA
"131","GO:0010507","negative regulation of autophagy","BP",1,NA,NA,NA
"132","GO:0010595","positive regulation of endothelial cell migration","BP",1,NA,NA,NA
"133","GO:0010628","positive regulation of gene expression","BP",1,NA,NA,NA
"134","GO:0014068","positive regulation of phosphatidylinositol 3-kinase signaling","BP",1,NA,NA,NA
"135","GO:0014069","postsynaptic density","CC",1,NA,NA,NA
"136","GO:0014722","regulation of skeletal muscle contraction by calcium ion signaling","BP",1,NA,NA,NA
"137","GO:0015031","protein transport","BP",1,NA,NA,NA
"138","GO:0015629","actin cytoskeleton","CC",1,NA,NA,NA
"139","GO:0015630","microtubule cytoskeleton","CC",1,NA,NA,NA
"140","GO:0016301","kinase activity","MF",1,NA,NA,NA
"141","GO:0016323","basolateral plasma membrane","CC",1,NA,NA,NA
"142","GO:0016324","apical plasma membrane","CC",1,NA,NA,NA
"143","GO:0016477","cell migration","BP",1,NA,NA,NA
"144","GO:0016567","protein ubiquitination","BP",1,NA,NA,NA
"145","GO:0016600","flotillin complex","CC",1,NA,NA,NA
"146","GO:0016607","nuclear speck","CC",1,NA,NA,NA
"147","GO:0016829","lyase activity","MF",1,NA,NA,NA
"148","GO:0016887","ATPase activity","MF",1,NA,NA,NA
"149","GO:0019901","protein kinase binding","MF",1,NA,NA,NA
"150","GO:0019902","phosphatase binding","MF",1,NA,NA,NA
"151","GO:0022857","transmembrane transporter activity","MF",1,NA,NA,NA
"152","GO:0030011","maintenance of cell polarity","BP",1,NA,NA,NA
"153","GO:0030018","Z disc","CC",1,NA,NA,NA
"154","GO:0030020","extracellular matrix structural constituent conferring tensile strength","MF",1,NA,NA,NA
"155","GO:0030027","lamellipodium","CC",1,NA,NA,NA
"156","GO:0030056","hemidesmosome","CC",1,NA,NA,NA
"157","GO:0030140","trans-Golgi network transport vesicle","CC",1,NA,NA,NA
"158","GO:0030145","manganese ion binding","MF",1,NA,NA,NA
"159","GO:0030154","cell differentiation","BP",1,NA,NA,NA
"160","GO:0030155","regulation of cell adhesion","BP",1,NA,NA,NA
"161","GO:0030175","filopodium","CC",1,NA,NA,NA
"162","GO:0030241","skeletal muscle myosin thick filament assembly","BP",1,NA,NA,NA
"163","GO:0030424","axon","CC",1,NA,NA,NA
"164","GO:0030425","dendrite","CC",1,NA,NA,NA
"165","GO:0030659","cytoplasmic vesicle membrane","CC",1,NA,NA,NA
"166","GO:0031034","myosin filament assembly","BP",1,NA,NA,NA
"167","GO:0031122","cytoplasmic microtubule organization","BP",1,NA,NA,NA
"168","GO:0031175","neuron projection development","BP",1,NA,NA,NA
"169","GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","CC",1,NA,NA,NA
"170","GO:0031252","cell leading edge","CC",1,NA,NA,NA
"171","GO:0031267","small GTPase binding","MF",1,NA,NA,NA
"172","GO:0031581","hemidesmosome assembly","BP",1,NA,NA,NA
"173","GO:0031672","A band","CC",1,NA,NA,NA
"174","GO:0031673","H zone","CC",1,NA,NA,NA
"175","GO:0031965","nuclear membrane","CC",1,NA,NA,NA
"176","GO:0032991","protein-containing complex","CC",1,NA,NA,NA
"177","GO:0033668","negative regulation by symbiont of host apoptotic process","BP",1,NA,NA,NA
"178","GO:0034063","stress granule assembly","BP",1,NA,NA,NA
"179","GO:0034446","substrate adhesion-dependent cell spreading","BP",1,NA,NA,NA
"180","GO:0034451","centriolar satellite","CC",1,NA,NA,NA
"181","GO:0034613","cellular protein localization","BP",1,NA,NA,NA
"182","GO:0035091","phosphatidylinositol binding","MF",1,NA,NA,NA
"183","GO:0035371","microtubule plus-end","CC",1,NA,NA,NA
"184","GO:0035904","aorta development","BP",1,NA,NA,NA
"185","GO:0038023","signaling receptor activity","MF",1,NA,NA,NA
"186","GO:0040017","positive regulation of locomotion","BP",1,NA,NA,NA
"187","GO:0042060","wound healing","BP",1,NA,NA,NA
"188","GO:0042383","sarcolemma","CC",1,NA,NA,NA
"189","GO:0042981","regulation of apoptotic process","BP",1,NA,NA,NA
"190","GO:0043066","negative regulation of apoptotic process","BP",1,NA,NA,NA
"191","GO:0043235","receptor complex","CC",1,NA,NA,NA
"192","GO:0043410","positive regulation of MAPK cascade","BP",1,NA,NA,NA
"193","GO:0043434","response to peptide hormone","BP",1,NA,NA,NA
"194","GO:0043488","regulation of mRNA stability","BP",1,NA,NA,NA
"195","GO:0045111","intermediate filament cytoskeleton","CC",1,NA,NA,NA
"196","GO:0045202","synapse","CC",1,NA,NA,NA
"197","GO:0045211","postsynaptic membrane","CC",1,NA,NA,NA
"198","GO:0045727","positive regulation of translation","BP",1,NA,NA,NA
"199","GO:0045766","positive regulation of angiogenesis","BP",1,NA,NA,NA
"200","GO:0045948","positive regulation of translational initiation","BP",1,NA,NA,NA
"201","GO:0045989","positive regulation of striated muscle contraction","BP",1,NA,NA,NA
"202","GO:0045995","regulation of embryonic development","BP",1,NA,NA,NA
"203","GO:0046777","protein autophosphorylation","BP",1,NA,NA,NA
"204","GO:0048870","cell motility","BP",1,NA,NA,NA
"205","GO:0050728","negative regulation of inflammatory response","BP",1,NA,NA,NA
"206","GO:0050772","positive regulation of axonogenesis","BP",1,NA,NA,NA
"207","GO:0050821","protein stabilization","BP",1,NA,NA,NA
"208","GO:0051010","microtubule plus-end binding","MF",1,NA,NA,NA
"209","GO:0051260","protein homooligomerization","BP",1,NA,NA,NA
"210","GO:0051301","cell division","BP",1,NA,NA,NA
"211","GO:0051393","alpha-actinin binding","MF",1,NA,NA,NA
"212","GO:0051603","proteolysis involved in cellular protein catabolic process","BP",1,NA,NA,NA
"213","GO:0051865","protein autoubiquitination","BP",1,NA,NA,NA
"214","GO:0051897","positive regulation of protein kinase B signaling","BP",1,NA,NA,NA
"215","GO:0060216","definitive hemopoiesis","BP",1,NA,NA,NA
"216","GO:0060298","positive regulation of sarcomere organization","BP",1,NA,NA,NA
"217","GO:0070374","positive regulation of ERK1 and ERK2 cascade","BP",1,NA,NA,NA
"218","GO:0070628","proteasome binding","MF",1,NA,NA,NA
"219","GO:0071688","striated muscle myosin thick filament assembly","BP",1,NA,NA,NA
"220","GO:0071711","basement membrane organization","BP",1,NA,NA,NA
"221","GO:0071712","ER-associated misfolded protein catabolic process","BP",1,NA,NA,NA
"222","GO:0072659","protein localization to plasma membrane","BP",1,NA,NA,NA
"223","GO:0090736","MATH domain binding","MF",1,NA,NA,NA
"224","GO:0098609","cell-cell adhesion","BP",1,NA,NA,NA
"225","GO:0098982","GABA-ergic synapse","CC",1,NA,NA,NA
"226","GO:1904115","axon cytoplasm","CC",1,NA,NA,NA
"227","GO:1905552","positive regulation of protein localization to endoplasmic reticulum","BP",1,NA,NA,NA
"228","GO:1905905","pharyngeal gland morphogenesis","BP",1,NA,NA,NA
"229","GO:2000051","negative regulation of non-canonical Wnt signaling pathway","BP",1,NA,NA,NA
"230",NA,NA,NA,11,"metal ion binding (GO:0046872)",NA,NA
"231",NA,NA,NA,10,"No_GOMF",NA,NA
"232",NA,NA,NA,8,"calcium ion binding (GO:0005509)",NA,NA
"233",NA,NA,NA,4,"actin binding (GO:0003779)",NA,NA
"234",NA,NA,NA,4,"ATP binding (GO:0005524)",NA,NA
"235",NA,NA,NA,3,"extracellular matrix structural constituent (GO:0005201)",NA,NA
"236",NA,NA,NA,3,"heme binding (GO:0020037)",NA,NA
"237",NA,NA,NA,3,"identical protein binding (GO:0042802)",NA,NA
"238",NA,NA,NA,3,"microtubule binding (GO:0008017)",NA,NA
"239",NA,NA,NA,3,"nutrient reservoir activity (GO:0045735)",NA,NA
"240",NA,NA,NA,3,"peroxidase activity (GO:0004601)",NA,NA
"241",NA,NA,NA,3,"protein homodimerization activity (GO:0042803)",NA,NA
"242",NA,NA,NA,3,"RNA binding (GO:0003723)",NA,NA
"243",NA,NA,NA,2,"actin filament binding (GO:0051015)",NA,NA
"244",NA,NA,NA,2,"bromide peroxidase activity (GO:0019806)",NA,NA
"245",NA,NA,NA,2,"cysteine-type endopeptidase inhibitor activity (GO:0004869)",NA,NA
"246",NA,NA,NA,2,"DNA binding (GO:0003677)",NA,NA
"247",NA,NA,NA,2,"GTPase activator activity (GO:0005096)",NA,NA
"248",NA,NA,NA,2,"guanyl-nucleotide exchange factor activity (GO:0005085)",NA,NA
"249",NA,NA,NA,2,"interleukin-1 receptor antagonist activity (GO:0005152)",NA,NA
"250",NA,NA,NA,14,NA,"No_GOBP",NA
"251",NA,NA,NA,5,NA,"extracellular matrix organization (GO:0030198)",NA
"252",NA,NA,NA,4,NA,"collagen fibril organization (GO:0030199)",NA
"253",NA,NA,NA,3,NA,"axon guidance (GO:0007411)",NA
"254",NA,NA,NA,3,NA,"immune system process (GO:0002376)",NA
"255",NA,NA,NA,3,NA,"intermediate filament cytoskeleton organization (GO:0045104)",NA
"256",NA,NA,NA,3,NA,"iron ion homeostasis (GO:0055072)",NA
"257",NA,NA,NA,3,NA,"iron ion transport (GO:0006826)",NA
"258",NA,NA,NA,2,NA,"angiogenesis (GO:0001525)",NA
"259",NA,NA,NA,2,NA,"autophagy (GO:0006914)",NA
"260",NA,NA,NA,2,NA,"basement membrane assembly (GO:0070831)",NA
"261",NA,NA,NA,2,NA,"brain development (GO:0007420)",NA
"262",NA,NA,NA,2,NA,"cell adhesion (GO:0007155)",NA
"263",NA,NA,NA,2,NA,"cell communication (GO:0007154)",NA
"264",NA,NA,NA,2,NA,"homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)",NA
"265",NA,NA,NA,2,NA,"hydrogen peroxide catabolic process (GO:0042744)",NA
"266",NA,NA,NA,2,NA,"immune response (GO:0006955)",NA
"267",NA,NA,NA,2,NA,"multicellular organism development (GO:0007275)",NA
"268",NA,NA,NA,2,NA,"muscle contraction (GO:0006936)",NA
"269",NA,NA,NA,2,NA,"positive regulation of GTPase activity (GO:0043547)",NA
"270",NA,NA,NA,13,NA,NA,"cytoplasm (GO:0005737)"
"271",NA,NA,NA,13,NA,NA,"integral component of membrane (GO:0016021)"
"272",NA,NA,NA,10,NA,NA,"extracellular region (GO:0005576)"
"273",NA,NA,NA,10,NA,NA,"plasma membrane (GO:0005886)"
"274",NA,NA,NA,8,NA,NA,"extracellular space (GO:0005615)"
"275",NA,NA,NA,6,NA,NA,"cytosol (GO:0005829)"
"276",NA,NA,NA,6,NA,NA,"membrane (GO:0016020)"
"277",NA,NA,NA,5,NA,NA,"collagen-containing extracellular matrix (GO:0062023)"
"278",NA,NA,NA,5,NA,NA,"No_GOCC"
"279",NA,NA,NA,5,NA,NA,"nucleus (GO:0005634)"
"280",NA,NA,NA,4,NA,NA,"cytoskeleton (GO:0005856)"
"281",NA,NA,NA,4,NA,NA,"early endosome (GO:0005769)"
"282",NA,NA,NA,3,NA,NA,"basement membrane (GO:0005604)"
"283",NA,NA,NA,3,NA,NA,"cytoplasmic vesicle (GO:0031410)"
"284",NA,NA,NA,3,NA,NA,"extracellular exosome (GO:0070062)"
"285",NA,NA,NA,3,NA,NA,"extracellular matrix (GO:0031012)"
"286",NA,NA,NA,3,NA,NA,"focal adhesion (GO:0005925)"
"287",NA,NA,NA,3,NA,NA,"nucleoplasm (GO:0005654)"
"288",NA,NA,NA,3,NA,NA,"recycling endosome (GO:0055037)"
"289",NA,NA,NA,2,NA,NA,"basal plasma membrane (GO:0009925)"
