"","orthogroup","gene_Sid","isotig"
"N0.HOG0000673","N0.HOG0000673","Siderastrea_Mexico_Barshis-Radice_Host_contig04743","isotig32495_Past"
"N0.HOG0000674","N0.HOG0000674","Siderastrea_Mexico_Barshis-Radice_Host_contig10430","isotig03203_Past"
"N0.HOG0000684","N0.HOG0000684","Siderastrea_Mexico_Barshis-Radice_Host_contig03522","isotig07528_Past"
"N0.HOG0000685","N0.HOG0000685","Siderastrea_Mexico_Barshis-Radice_Host_contig14234","isotig03449_Past"
"N0.HOG0001396","N0.HOG0001396","Siderastrea_Mexico_Barshis-Radice_Host_contig15280","GCKDGN102DKQNG_Past"
"N0.HOG0001397","N0.HOG0001397","Siderastrea_Mexico_Barshis-Radice_Host_contig09244","GCKDGN103F5JRT_Past"
"N0.HOG0001399","N0.HOG0001399","Siderastrea_Mexico_Barshis-Radice_Host_contig11541","isotig08087_Past"
"N0.HOG0001400","N0.HOG0001400","Siderastrea_Mexico_Barshis-Radice_Host_contig14882","isotig04143_Past"
"N0.HOG0001403","N0.HOG0001403","Siderastrea_Mexico_Barshis-Radice_Host_contig02782","isotig05768_Past"
"N0.HOG0001404","N0.HOG0001404","Siderastrea_Mexico_Barshis-Radice_Host_contig03211","isotig01710_Past"
"N0.HOG0001405","N0.HOG0001405","Siderastrea_Mexico_Barshis-Radice_Host_contig03210","isotig05099_Past"
"N0.HOG0001406","N0.HOG0001406","Siderastrea_Mexico_Barshis-Radice_Host_contig03216","isotig22076_Past"
"N0.HOG0001409","N0.HOG0001409","Siderastrea_Mexico_Barshis-Radice_Host_contig04249","isotig03454_Past"
"N0.HOG0001410","N0.HOG0001410","Siderastrea_Mexico_Barshis-Radice_Host_contig04248","isotig10636_Past"
"N0.HOG0001415","N0.HOG0001415","Siderastrea_Mexico_Barshis-Radice_Host_contig15935","isotig04726_Past"
"N0.HOG0001416","N0.HOG0001416","Siderastrea_Mexico_Barshis-Radice_Host_contig15933","isotig03678_Past"
"N0.HOG0001417","N0.HOG0001417","Siderastrea_Mexico_Barshis-Radice_Host_contig03338","isotig04657_Past"
"N0.HOG0001419","N0.HOG0001419","Siderastrea_Mexico_Barshis-Radice_Host_contig08798","GCKDGN102D01E7_Past"
"N0.HOG0001420","N0.HOG0001420","Siderastrea_Mexico_Barshis-Radice_Host_contig08795","GCKDGN101CDN9P_Past"
"N0.HOG0001421","N0.HOG0001421","Siderastrea_Mexico_Barshis-Radice_Host_contig08794","isotig16621_Past"
"N0.HOG0001424","N0.HOG0001424","Siderastrea_Mexico_Barshis-Radice_Host_contig18317","isotig13490_Past"
"N0.HOG0001425","N0.HOG0001425","Siderastrea_Mexico_Barshis-Radice_Host_contig00895","isotig22041_Past"
"N0.HOG0001430","N0.HOG0001430","Siderastrea_Mexico_Barshis-Radice_Host_contig01943","isotig20901_Past"
"N0.HOG0001432","N0.HOG0001432","Siderastrea_Mexico_Barshis-Radice_Host_contig01944","isotig19528_Past"
"N0.HOG0001433","N0.HOG0001433","Siderastrea_Mexico_Barshis-Radice_Host_contig01948","isotig05910_Past"
"N0.HOG0001435","N0.HOG0001435","Siderastrea_Mexico_Barshis-Radice_Host_contig02363","isotig07872_Past"
"N0.HOG0001436","N0.HOG0001436","Siderastrea_Mexico_Barshis-Radice_Host_contig13033","isotig09040_Past"
"N0.HOG0001439","N0.HOG0001439","Siderastrea_Mexico_Barshis-Radice_Host_contig02025","GCKDGN101B5WJM_Past"
"N0.HOG0001441","N0.HOG0001441","Siderastrea_Mexico_Barshis-Radice_Host_contig11737","isotig08955_Past"
"N0.HOG0001443","N0.HOG0001443","Siderastrea_Mexico_Barshis-Radice_Host_contig10800","isotig05408_Past"
"N0.HOG0001444","N0.HOG0001444","Siderastrea_Mexico_Barshis-Radice_Host_contig00450","isotig14428_Past"
"N0.HOG0001446","N0.HOG0001446","Siderastrea_Mexico_Barshis-Radice_Host_contig02600","isotig05147_Past"
"N0.HOG0001447","N0.HOG0001447","Siderastrea_Mexico_Barshis-Radice_Host_contig17675","isotig26463_Past"
"N0.HOG0001448","N0.HOG0001448","Siderastrea_Mexico_Barshis-Radice_Host_contig02798","isotig20716_Past"
"N0.HOG0001453","N0.HOG0001453","Siderastrea_Mexico_Barshis-Radice_Host_contig01875","isotig08680_Past"
"N0.HOG0001455","N0.HOG0001455","Siderastrea_Mexico_Barshis-Radice_Host_contig05674","GCKDGN103FYMGP_Past"
"N0.HOG0001460","N0.HOG0001460","Siderastrea_Mexico_Barshis-Radice_Host_contig09187","isotig18809_Past"
"N0.HOG0001465","N0.HOG0001465","Siderastrea_Mexico_Barshis-Radice_Host_contig01123","isotig05930_Past"
"N0.HOG0001468","N0.HOG0001468","Siderastrea_Mexico_Barshis-Radice_Host_contig09142","isotig10449_Past"
"N0.HOG0001469","N0.HOG0001469","Siderastrea_Mexico_Barshis-Radice_Host_contig09141","isotig24788_Past"
"N0.HOG0001471","N0.HOG0001471","Siderastrea_Mexico_Barshis-Radice_Host_contig03669","isotig21997_Past"
"N0.HOG0001472","N0.HOG0001472","Siderastrea_Mexico_Barshis-Radice_Host_contig10359","isotig26040_Past"
"N0.HOG0001473","N0.HOG0001473","Siderastrea_Mexico_Barshis-Radice_Host_contig11895","isotig21819_Past"
"N0.HOG0001475","N0.HOG0001475","Siderastrea_Mexico_Barshis-Radice_Host_contig13944","isotig28394_Past"
"N0.HOG0001478","N0.HOG0001478","Siderastrea_Mexico_Barshis-Radice_Host_contig17079","isotig31696_Past"
"N0.HOG0001485","N0.HOG0001485","Siderastrea_Mexico_Barshis-Radice_Host_contig09282","GCKDGN102DQDG9_Past"
"N0.HOG0001487","N0.HOG0001487","Siderastrea_Mexico_Barshis-Radice_Host_contig16388","isotig01514_Past"
"N0.HOG0001489","N0.HOG0001489","Siderastrea_Mexico_Barshis-Radice_Host_contig04798","isotig04043_Past"
"N0.HOG0001490","N0.HOG0001490","Siderastrea_Mexico_Barshis-Radice_Host_contig07443","isotig10726_Past"
"N0.HOG0001491","N0.HOG0001491","Siderastrea_Mexico_Barshis-Radice_Host_contig12727","isotig14777_Past"
"N0.HOG0001492","N0.HOG0001492","Siderastrea_Mexico_Barshis-Radice_Host_contig06007","isotig03506_Past"
"N0.HOG0001494","N0.HOG0001494","Siderastrea_Mexico_Barshis-Radice_Host_contig16039","isotig12043_Past"
"N0.HOG0001495","N0.HOG0001495","Siderastrea_Mexico_Barshis-Radice_Host_contig13232","isotig03171_Past"
"N0.HOG0001498","N0.HOG0001498","Siderastrea_Mexico_Barshis-Radice_Host_contig04792","isotig06989_Past"
"N0.HOG0001499","N0.HOG0001499","Siderastrea_Mexico_Barshis-Radice_Host_contig00378","isotig08421_Past"
"N0.HOG0001501","N0.HOG0001501","Siderastrea_Mexico_Barshis-Radice_Host_contig07200","GCKDGN101AQ2MM_Past"
"N0.HOG0001502","N0.HOG0001502","Siderastrea_Mexico_Barshis-Radice_Host_contig14869","isotig03248_Past"
"N0.HOG0001505","N0.HOG0001505","Siderastrea_Mexico_Barshis-Radice_Host_contig02587","isotig19743_Past"
"N0.HOG0001506","N0.HOG0001506","Siderastrea_Mexico_Barshis-Radice_Host_contig19099","GCKDGN103FT2I1_Past"
"N0.HOG0001507","N0.HOG0001507","Siderastrea_Mexico_Barshis-Radice_Host_contig06914","GCKDGN101B4FN3_Past"
"N0.HOG0001508","N0.HOG0001508","Siderastrea_Mexico_Barshis-Radice_Host_contig03183","isotig01686_Past"
"N0.HOG0001510","N0.HOG0001510","Siderastrea_Mexico_Barshis-Radice_Host_contig03187","isotig11130_Past"
"N0.HOG0001511","N0.HOG0001511","Siderastrea_Mexico_Barshis-Radice_Host_contig03186","isotig05627_Past"
"N0.HOG0001512","N0.HOG0001512","Siderastrea_Mexico_Barshis-Radice_Host_contig11155","isotig23067_Past"
"N0.HOG0001513","N0.HOG0001513","Siderastrea_Mexico_Barshis-Radice_Host_contig07034","isotig12460_Past"
"N0.HOG0001514","N0.HOG0001514","Siderastrea_Mexico_Barshis-Radice_Host_contig11158","isotig00260_Past"
"N0.HOG0001517","N0.HOG0001517","Siderastrea_Mexico_Barshis-Radice_Host_contig15094","isotig04595_Past"
"N0.HOG0001518","N0.HOG0001518","Siderastrea_Mexico_Barshis-Radice_Host_contig15097","isotig26855_Past"
"N0.HOG0001521","N0.HOG0001521","Siderastrea_Mexico_Barshis-Radice_Host_contig06642","isotig09785_Past"
"N0.HOG0001522","N0.HOG0001522","Siderastrea_Mexico_Barshis-Radice_Host_contig08407","GCKDGN101AMDS1_Past"
"N0.HOG0001524","N0.HOG0001524","Siderastrea_Mexico_Barshis-Radice_Host_contig18388","isotig04985_Past"
"N0.HOG0001525","N0.HOG0001525","Siderastrea_Mexico_Barshis-Radice_Host_contig18385","isotig10943_Past"
"N0.HOG0001528","N0.HOG0001528","Siderastrea_Mexico_Barshis-Radice_Host_contig10576","GCKDGN102EXD6Y_Past"
"N0.HOG0001530","N0.HOG0001530","Siderastrea_Mexico_Barshis-Radice_Host_contig00520","isotig03509_Past"
"N0.HOG0001532","N0.HOG0001532","Siderastrea_Mexico_Barshis-Radice_Host_contig15660","isotig11462_Past"
"N0.HOG0001533","N0.HOG0001533","Siderastrea_Mexico_Barshis-Radice_Host_contig04243","isotig05856_Past"
"N0.HOG0001535","N0.HOG0001535","Siderastrea_Mexico_Barshis-Radice_Host_contig04539","GE913042_Past"
"N0.HOG0001536","N0.HOG0001536","Siderastrea_Mexico_Barshis-Radice_Host_contig09504","isotig03815_Past"
"N0.HOG0001540","N0.HOG0001540","Siderastrea_Mexico_Barshis-Radice_Host_contig13002","isotig24451_Past"
"N0.HOG0001542","N0.HOG0001542","Siderastrea_Mexico_Barshis-Radice_Host_contig17243","isotig06574_Past"
"N0.HOG0001544","N0.HOG0001544","Siderastrea_Mexico_Barshis-Radice_Host_contig02346","isotig19980_Past"
"N0.HOG0001545","N0.HOG0001545","Siderastrea_Mexico_Barshis-Radice_Host_contig02347","isotig13717_Past"
"N0.HOG0001547","N0.HOG0001547","Siderastrea_Mexico_Barshis-Radice_Host_contig11716","isotig06690_Past"
"N0.HOG0001549","N0.HOG0001549","Siderastrea_Mexico_Barshis-Radice_Host_contig17651","isotig13211_Past"
"N0.HOG0001557","N0.HOG0001557","Siderastrea_Mexico_Barshis-Radice_Host_contig04616","isotig11226_Past"
"N0.HOG0001558","N0.HOG0001558","Siderastrea_Mexico_Barshis-Radice_Host_contig11112","isotig17227_Past"
"N0.HOG0001559","N0.HOG0001559","Siderastrea_Mexico_Barshis-Radice_Host_contig09501","isotig26822_Past"
"N0.HOG0001560","N0.HOG0001560","Siderastrea_Mexico_Barshis-Radice_Host_contig06378","GCKDGN102EDWKE_Past"
"N0.HOG0001561","N0.HOG0001561","Siderastrea_Mexico_Barshis-Radice_Host_contig07434","isotig27977_Past"
"N0.HOG0001564","N0.HOG0001564","Siderastrea_Mexico_Barshis-Radice_Host_contig15604","isotig07213_Past"
"N0.HOG0001567","N0.HOG0001567","Siderastrea_Mexico_Barshis-Radice_Host_contig09303","isotig30157_Past"
"N0.HOG0001570","N0.HOG0001570","Siderastrea_Mexico_Barshis-Radice_Host_contig13824","isotig08514_Past"
"N0.HOG0001571","N0.HOG0001571","Siderastrea_Mexico_Barshis-Radice_Host_contig01101","isotig09244_Past"
"N0.HOG0001572","N0.HOG0001572","Siderastrea_Mexico_Barshis-Radice_Host_contig15701","isotig25918_Past"
"N0.HOG0001573","N0.HOG0001573","Siderastrea_Mexico_Barshis-Radice_Host_contig04167","isotig05409_Past"
"N0.HOG0001574","N0.HOG0001574","Siderastrea_Mexico_Barshis-Radice_Host_contig04341","isotig04825_Past"
"N0.HOG0001575","N0.HOG0001575","Siderastrea_Mexico_Barshis-Radice_Host_contig02706","isotig03291_Past"
"N0.HOG0001576","N0.HOG0001576","Siderastrea_Mexico_Barshis-Radice_Host_contig10551","GCKDGN103FX4G9_Past"
"N0.HOG0001578","N0.HOG0001578","Siderastrea_Mexico_Barshis-Radice_Host_contig06455","isotig07006_Past"
"N0.HOG0001580","N0.HOG0001580","Siderastrea_Mexico_Barshis-Radice_Host_contig18598","isotig01746_Past"
"N0.HOG0001581","N0.HOG0001581","Siderastrea_Mexico_Barshis-Radice_Host_contig12523","isotig11144_Past"
"N0.HOG0001583","N0.HOG0001583","Siderastrea_Mexico_Barshis-Radice_Host_contig12528","isotig26256_Past"
"N0.HOG0001585","N0.HOG0001585","Siderastrea_Mexico_Barshis-Radice_Host_contig02810","isotig02570_Past"
"N0.HOG0001588","N0.HOG0001588","Siderastrea_Mexico_Barshis-Radice_Host_contig05113","GCKDGN103F3FNV_Past"
"N0.HOG0001589","N0.HOG0001589","Siderastrea_Mexico_Barshis-Radice_Host_contig12294","isotig12946_Past"
"N0.HOG0001590","N0.HOG0001590","Siderastrea_Mexico_Barshis-Radice_Host_contig12291","isotig03315_Past"
"N0.HOG0001591","N0.HOG0001591","Siderastrea_Mexico_Barshis-Radice_Host_contig06061","isotig08999_Past"
"N0.HOG0001593","N0.HOG0001593","Siderastrea_Mexico_Barshis-Radice_Host_contig13216","isotig25708_Past"
"N0.HOG0001594","N0.HOG0001594","Siderastrea_Mexico_Barshis-Radice_Host_contig01486","isotig16300_Past"
"N0.HOG0001595","N0.HOG0001595","Siderastrea_Mexico_Barshis-Radice_Host_contig19195","isotig18005_Past"
"N0.HOG0001601","N0.HOG0001601","Siderastrea_Mexico_Barshis-Radice_Host_contig17827","isotig04556_Past"
"N0.HOG0001602","N0.HOG0001602","Siderastrea_Mexico_Barshis-Radice_Host_contig17825","isotig01210_Past"
"N0.HOG0001604","N0.HOG0001604","Siderastrea_Mexico_Barshis-Radice_Host_contig07089","isotig04294_Past"
"N0.HOG0001605","N0.HOG0001605","Siderastrea_Mexico_Barshis-Radice_Host_contig17821","isotig17029_Past"
"N0.HOG0001606","N0.HOG0001606","Siderastrea_Mexico_Barshis-Radice_Host_contig07081","GCKDGN103G99HN_Past"
"N0.HOG0001608","N0.HOG0001608","Siderastrea_Mexico_Barshis-Radice_Host_contig14596","isotig08227_Past"
"N0.HOG0001609","N0.HOG0001609","Siderastrea_Mexico_Barshis-Radice_Host_contig14591","isotig20214_Past"
"N0.HOG0001610","N0.HOG0001610","Siderastrea_Mexico_Barshis-Radice_Host_contig12959","isotig04669_Past"
"N0.HOG0001612","N0.HOG0001612","Siderastrea_Mexico_Barshis-Radice_Host_contig00193","isotig05923_Past"
"N0.HOG0001613","N0.HOG0001613","Siderastrea_Mexico_Barshis-Radice_Host_contig11179","isotig26795_Past"
"N0.HOG0001615","N0.HOG0001615","Siderastrea_Mexico_Barshis-Radice_Host_contig11170","GCKDGN103GRFWM_Past"
"N0.HOG0001616","N0.HOG0001616","Siderastrea_Mexico_Barshis-Radice_Host_contig03257","isotig06214_Past"
"N0.HOG0001618","N0.HOG0001618","Siderastrea_Mexico_Barshis-Radice_Host_contig00447","isotig14199_Past"
"N0.HOG0001621","N0.HOG0001621","Siderastrea_Mexico_Barshis-Radice_Host_contig05047","GCKDGN102C92JY_Past"
"N0.HOG0001622","N0.HOG0001622","Siderastrea_Mexico_Barshis-Radice_Host_contig02089","isotig09380_Past"
"N0.HOG0001623","N0.HOG0001623","Siderastrea_Mexico_Barshis-Radice_Host_contig06660","isotig04362_Past"
"N0.HOG0001625","N0.HOG0001625","Siderastrea_Mexico_Barshis-Radice_Host_contig05489","isotig04813_Past"
"N0.HOG0001628","N0.HOG0001628","Siderastrea_Mexico_Barshis-Radice_Host_contig10779","isotig24058_Past"
"N0.HOG0001629","N0.HOG0001629","Siderastrea_Mexico_Barshis-Radice_Host_contig18254","isotig03457_Past"
"N0.HOG0001630","N0.HOG0001630","Siderastrea_Mexico_Barshis-Radice_Host_contig08937","isotig16813_Past"
"N0.HOG0001632","N0.HOG0001632","Siderastrea_Mexico_Barshis-Radice_Host_contig05150","isotig01102_Past"
"N0.HOG0001634","N0.HOG0001634","Siderastrea_Mexico_Barshis-Radice_Host_contig03004","isotig20571_Past"
"N0.HOG0001635","N0.HOG0001635","Siderastrea_Mexico_Barshis-Radice_Host_contig14034","isotig04030_Past"
"N0.HOG0001636","N0.HOG0001636","Siderastrea_Mexico_Barshis-Radice_Host_contig14032","isotig08548_Past"
"N0.HOG0001637","N0.HOG0001637","Siderastrea_Mexico_Barshis-Radice_Host_contig09489","isotig22016_Past"
"N0.HOG0001638","N0.HOG0001638","Siderastrea_Mexico_Barshis-Radice_Host_contig18944","isotig15145_Past"
"N0.HOG0001644","N0.HOG0001644","Siderastrea_Mexico_Barshis-Radice_Host_contig12889","isotig11911_Past"
"N0.HOG0001645","N0.HOG0001645","Siderastrea_Mexico_Barshis-Radice_Host_contig03419","isotig17639_Past"
"N0.HOG0001647","N0.HOG0001647","Siderastrea_Mexico_Barshis-Radice_Host_contig07010","GCKDGN101BVVWK_Past"
"N0.HOG0001650","N0.HOG0001650","Siderastrea_Mexico_Barshis-Radice_Host_contig14302","isotig03871_Past"
"N0.HOG0001652","N0.HOG0001652","Siderastrea_Mexico_Barshis-Radice_Host_contig15856","GCKDGN103HH0UP_Past"
"N0.HOG0001655","N0.HOG0001655","Siderastrea_Mexico_Barshis-Radice_Host_contig10820","isotig09077_Past"
"N0.HOG0001656","N0.HOG0001656","Siderastrea_Mexico_Barshis-Radice_Host_contig14224","isotig00318_Past"
"N0.HOG0001658","N0.HOG0001658","Siderastrea_Mexico_Barshis-Radice_Host_contig03087","isotig12727_Past"
