"","isotig","gene","orthogroup","gene_Sid"
"43","isotig01120_Past","isogroup00393_Past","N0.HOG0002280","Siderastrea_Mexico_Barshis-Radice_Host_contig12807"
"44","isotig01146_Past","isogroup00406_Past","N0.HOG0003499","Siderastrea_Mexico_Barshis-Radice_Host_contig11243"
"45","isotig01166_Past","isogroup00416_Past","N0.HOG0003263","Siderastrea_Mexico_Barshis-Radice_Host_contig06865"
"46","isotig01176_Past","isogroup00421_Past","N0.HOG0002930","Siderastrea_Mexico_Barshis-Radice_Host_contig18039"
"47","isotig01180_Past","isogroup00423_Past","N0.HOG0000292","Siderastrea_Mexico_Barshis-Radice_Host_contig00068"
"48","isotig01190_Past","isogroup00428_Past","N0.HOG0003133","Siderastrea_Mexico_Barshis-Radice_Host_contig10083"
"49","isotig01196_Past","isogroup00431_Past","N0.HOG0003510","Siderastrea_Mexico_Barshis-Radice_Host_contig08033"
"50","isotig01210_Past","isogroup00438_Past","N0.HOG0001602","Siderastrea_Mexico_Barshis-Radice_Host_contig17825"
"51","isotig01214_Past","isogroup00440_Past","N0.HOG0001999","Siderastrea_Mexico_Barshis-Radice_Host_contig05405"
"52","isotig01254_Past","isogroup00460_Past","N0.HOG0002596","Siderastrea_Mexico_Barshis-Radice_Host_contig10094"
"53","isotig01258_Past","isogroup00462_Past","N0.HOG0003309","Siderastrea_Mexico_Barshis-Radice_Host_contig04369"
"54","isotig01304_Past","isogroup00485_Past","N0.HOG0002525","Siderastrea_Mexico_Barshis-Radice_Host_contig16237"
"55","isotig01368_Past","isogroup00517_Past","N0.HOG0002590","Siderastrea_Mexico_Barshis-Radice_Host_contig10506"
"56","isotig01372_Past","isogroup00519_Past","N0.HOG0003191","Siderastrea_Mexico_Barshis-Radice_Host_contig15267"
"57","isotig01380_Past","isogroup00523_Past","N0.HOG0003420","Siderastrea_Mexico_Barshis-Radice_Host_contig11196"
"58","isotig01428_Past","isogroup00547_Past","N0.HOG0001937","Siderastrea_Mexico_Barshis-Radice_Host_contig10844"
"59","isotig01470_Past","isogroup00568_Past","N0.HOG0002517","Siderastrea_Mexico_Barshis-Radice_Host_contig09299"
"60","isotig01472_Past","isogroup00569_Past","N0.HOG0003591","Siderastrea_Mexico_Barshis-Radice_Host_contig12327"
"61","isotig01490_Past","isogroup00578_Past","N0.HOG0003339","Siderastrea_Mexico_Barshis-Radice_Host_contig00713"
"62","isotig01514_Past","isogroup00590_Past","N0.HOG0001487","Siderastrea_Mexico_Barshis-Radice_Host_contig16388"
"63","isotig01532_Past","isogroup00599_Past","N0.HOG0002936","Siderastrea_Mexico_Barshis-Radice_Host_contig09494"
"64","isotig01534_Past","isogroup00600_Past","N0.HOG0000326","Siderastrea_Mexico_Barshis-Radice_Host_contig14908"
"65","isotig01540_Past","isogroup00603_Past","N0.HOG0003422","Siderastrea_Mexico_Barshis-Radice_Host_contig00789"
"66","isotig01564_Past","isogroup00615_Past","N0.HOG0002622","Siderastrea_Mexico_Barshis-Radice_Host_contig17994"
"67","isotig01594_Past","isogroup00630_Past","N0.HOG0002428","Siderastrea_Mexico_Barshis-Radice_Host_contig04983"
"68","isotig01598_Past","isogroup00632_Past","N0.HOG0003167","Siderastrea_Mexico_Barshis-Radice_Host_contig05411"
"69","isotig01612_Past","isogroup00639_Past","N0.HOG0003136","Siderastrea_Mexico_Barshis-Radice_Host_contig13753"
"70","isotig01618_Past","isogroup00642_Past","N0.HOG0003336","Siderastrea_Mexico_Barshis-Radice_Host_contig11400"
"71","isotig01626_Past","isogroup00646_Past","N0.HOG0002744","Siderastrea_Mexico_Barshis-Radice_Host_contig18892"
"72","isotig01656_Past","isogroup00661_Past","N0.HOG0001847","Siderastrea_Mexico_Barshis-Radice_Host_contig08819"
"73","isotig01686_Past","isogroup00676_Past","N0.HOG0001508","Siderastrea_Mexico_Barshis-Radice_Host_contig03183"
"74","isotig01690_Past","isogroup00678_Past","N0.HOG0002690","Siderastrea_Mexico_Barshis-Radice_Host_contig05627"
"75","isotig01692_Past","isogroup00679_Past","N0.HOG0001741","Siderastrea_Mexico_Barshis-Radice_Host_contig16569"
"76","isotig01710_Past","isogroup00688_Past","N0.HOG0001404","Siderastrea_Mexico_Barshis-Radice_Host_contig03211"
"77","isotig01722_Past","isogroup00694_Past","N0.HOG0002440","Siderastrea_Mexico_Barshis-Radice_Host_contig08726"
"78","isotig01730_Past","isogroup00698_Past","N0.HOG0003360","Siderastrea_Mexico_Barshis-Radice_Host_contig08598"
"79","isotig01742_Past","isogroup00704_Past","N0.HOG0003315","Siderastrea_Mexico_Barshis-Radice_Host_contig08508"
"80","isotig01746_Past","isogroup00706_Past","N0.HOG0001580","Siderastrea_Mexico_Barshis-Radice_Host_contig18598"
"81","isotig01750_Past","isogroup00708_Past","N0.HOG0003246","Siderastrea_Mexico_Barshis-Radice_Host_contig10383"
"82","isotig01820_Past","isogroup00743_Past","N0.HOG0000603","Siderastrea_Mexico_Barshis-Radice_Host_contig03980"
"83","isotig01952_Past","isogroup00809_Past","N0.HOG0002252","Siderastrea_Mexico_Barshis-Radice_Host_contig18602"
"84","isotig02030_Past","isogroup00848_Past","N0.HOG0000554","Siderastrea_Mexico_Barshis-Radice_Host_contig07148"
"85","isotig02060_Past","isogroup00863_Past","N0.HOG0002105","Siderastrea_Mexico_Barshis-Radice_Host_contig06309"
"86","isotig02228_Past","isogroup00947_Past","N0.HOG0000580","Siderastrea_Mexico_Barshis-Radice_Host_contig06345"
"87","isotig02264_Past","isogroup00965_Past","N0.HOG0003399","Siderastrea_Mexico_Barshis-Radice_Host_contig04810"
"88","isotig02268_Past","isogroup00967_Past","N0.HOG0002299","Siderastrea_Mexico_Barshis-Radice_Host_contig06280"
"89","isotig02276_Past","isogroup00971_Past","N0.HOG0002078","Siderastrea_Mexico_Barshis-Radice_Host_contig01520"
"90","isotig02286_Past","isogroup00976_Past","N0.HOG0002601","Siderastrea_Mexico_Barshis-Radice_Host_contig01978"
"91","isotig02298_Past","isogroup00982_Past","N0.HOG0003137","Siderastrea_Mexico_Barshis-Radice_Host_contig13754"
"92","isotig02306_Past","isogroup00986_Past","N0.HOG0001923","Siderastrea_Mexico_Barshis-Radice_Host_contig01930"
"93","isotig02316_Past","isogroup00991_Past","N0.HOG0003558","Siderastrea_Mexico_Barshis-Radice_Host_contig04451"
"94","isotig02382_Past","isogroup01024_Past","N0.HOG0003076","Siderastrea_Mexico_Barshis-Radice_Host_contig18699"
"95","isotig02394_Past","isogroup01030_Past","N0.HOG0001739","Siderastrea_Mexico_Barshis-Radice_Host_contig16566"
"96","isotig02438_Past","isogroup01052_Past","N0.HOG0003240","Siderastrea_Mexico_Barshis-Radice_Host_contig09929"
"97","isotig02470_Past","isogroup01068_Past","N0.HOG0002929","Siderastrea_Mexico_Barshis-Radice_Host_contig17217"
"98","isotig02482_Past","isogroup01074_Past","N0.HOG0003067","Siderastrea_Mexico_Barshis-Radice_Host_contig08112"
"99","isotig02564_Past","isogroup01115_Past","N0.HOG0002056","Siderastrea_Mexico_Barshis-Radice_Host_contig17475"
"100","isotig02570_Past","isogroup01118_Past","N0.HOG0001585","Siderastrea_Mexico_Barshis-Radice_Host_contig02810"
"101","isotig02606_Past","isogroup01136_Past","N0.HOG0002320","Siderastrea_Mexico_Barshis-Radice_Host_contig03647"
"102","isotig02730_Past","isogroup01198_Past","N0.HOG0003287","Siderastrea_Mexico_Barshis-Radice_Host_contig16282"
"103","isotig02738_Past","isogroup01202_Past","N0.HOG0003594","Siderastrea_Mexico_Barshis-Radice_Host_contig11866"
"104","isotig02750_Past","isogroup01208_Past","N0.HOG0003599","Siderastrea_Mexico_Barshis-Radice_Host_contig18236"
"105","isotig02755_Past","isogroup01210_Past","N0.HOG0001729","Siderastrea_Mexico_Barshis-Radice_Host_contig11755"
"106","isotig02850_Past","isogroup01258_Past","N0.HOG0002924","Siderastrea_Mexico_Barshis-Radice_Host_contig05823"
"107","isotig02905_Past","isogroup01285_Past","N0.HOG0003071","Siderastrea_Mexico_Barshis-Radice_Host_contig00740"
"108","isotig03068_Past","isogroup01367_Past","N0.HOG0003446","Siderastrea_Mexico_Barshis-Radice_Host_contig16005"
"109","isotig03070_Past","isogroup01368_Past","N0.HOG0002523","Siderastrea_Mexico_Barshis-Radice_Host_contig05290"
"110","isotig03078_Past","isogroup01372_Past","N0.HOG0002812","Siderastrea_Mexico_Barshis-Radice_Host_contig12537"
"111","isotig03096_Past","isogroup01381_Past","N0.HOG0000061","Siderastrea_Mexico_Barshis-Radice_Host_contig03877"
"112","isotig03132_Past","isogroup01399_Past","N0.HOG0002835","Siderastrea_Mexico_Barshis-Radice_Host_contig08435"
"113","isotig03134_Past","isogroup01402_Past","N0.HOG0003627","Siderastrea_Mexico_Barshis-Radice_Host_contig12561"
"114","isotig03135_Past","isogroup01403_Past","N0.HOG0001965","Siderastrea_Mexico_Barshis-Radice_Host_contig18040"
"115","isotig03153_Past","isogroup01421_Past","N0.HOG0003555","Siderastrea_Mexico_Barshis-Radice_Host_contig04050"
"116","isotig03154_Past","isogroup01422_Past","N0.HOG0003421","Siderastrea_Mexico_Barshis-Radice_Host_contig08079"
"117","isotig03158_Past","isogroup01426_Past","N0.HOG0001822","Siderastrea_Mexico_Barshis-Radice_Host_contig01634"
"118","isotig03162_Past","isogroup01430_Past","N0.HOG0003464","Siderastrea_Mexico_Barshis-Radice_Host_contig07285"
"119","isotig03167_Past","isogroup01435_Past","N0.HOG0002524","Siderastrea_Mexico_Barshis-Radice_Host_contig00820"
"120","isotig03171_Past","isogroup01439_Past","N0.HOG0001495","Siderastrea_Mexico_Barshis-Radice_Host_contig13232"
"121","isotig03172_Past","isogroup01440_Past","N0.HOG0002980","Siderastrea_Mexico_Barshis-Radice_Host_contig10478"
"122","isotig03173_Past","isogroup01441_Past","N0.HOG0002602","Siderastrea_Mexico_Barshis-Radice_Host_contig12197"
"123","isotig03174_Past","isogroup01442_Past","N0.HOG0003330","Siderastrea_Mexico_Barshis-Radice_Host_contig12272"
"124","isotig03175_Past","isogroup01443_Past","N0.HOG0002530","Siderastrea_Mexico_Barshis-Radice_Host_contig02077"
"125","isotig03179_Past","isogroup01447_Past","N0.HOG0001973","Siderastrea_Mexico_Barshis-Radice_Host_contig11925"
"126","isotig03183_Past","isogroup01451_Past","N0.HOG0002604","Siderastrea_Mexico_Barshis-Radice_Host_contig17321"
"127","isotig03185_Past","isogroup01453_Past","N0.HOG0002337","Siderastrea_Mexico_Barshis-Radice_Host_contig04549"
"128","isotig03195_Past","isogroup01463_Past","N0.HOG0002014","Siderastrea_Mexico_Barshis-Radice_Host_contig00941"
"129","isotig03199_Past","isogroup01467_Past","N0.HOG0002145","Siderastrea_Mexico_Barshis-Radice_Host_contig01054"
"130","isotig03201_Past","isogroup01469_Past","N0.HOG0002535","Siderastrea_Mexico_Barshis-Radice_Host_contig02873"
"131","isotig03202_Past","isogroup01470_Past","N0.HOG0003423","Siderastrea_Mexico_Barshis-Radice_Host_contig17178"
"132","isotig03203_Past","isogroup01471_Past","N0.HOG0000674","Siderastrea_Mexico_Barshis-Radice_Host_contig10430"
"133","isotig03217_Past","isogroup01485_Past","N0.HOG0003317","Siderastrea_Mexico_Barshis-Radice_Host_contig00623"
"134","isotig03221_Past","isogroup01489_Past","N0.HOG0002769","Siderastrea_Mexico_Barshis-Radice_Host_contig08415"
"135","isotig03223_Past","isogroup01491_Past","N0.HOG0000046","Siderastrea_Mexico_Barshis-Radice_Host_contig18894"
"136","isotig03227_Past","isogroup01495_Past","N0.HOG0003081","Siderastrea_Mexico_Barshis-Radice_Host_contig19144"
"137","isotig03233_Past","isogroup01501_Past","N0.HOG0003611","Siderastrea_Mexico_Barshis-Radice_Host_contig10883"
"138","isotig03241_Past","isogroup01509_Past","N0.HOG0001867","Siderastrea_Mexico_Barshis-Radice_Host_contig07873"
"139","isotig03243_Past","isogroup01511_Past","N0.HOG0002852","Siderastrea_Mexico_Barshis-Radice_Host_contig16518"
"140","isotig03244_Past","isogroup01512_Past","N0.HOG0003557","Siderastrea_Mexico_Barshis-Radice_Host_contig00218"
"141","isotig03247_Past","isogroup01515_Past","N0.HOG0003454","Siderastrea_Mexico_Barshis-Radice_Host_contig01536"
"142","isotig03248_Past","isogroup01516_Past","N0.HOG0001502","Siderastrea_Mexico_Barshis-Radice_Host_contig14869"
"143","isotig03250_Past","isogroup01518_Past","N0.HOG0003162","Siderastrea_Mexico_Barshis-Radice_Host_contig10185"
"144","isotig03254_Past","isogroup01522_Past","N0.HOG0002115","Siderastrea_Mexico_Barshis-Radice_Host_contig11428"
"145","isotig03256_Past","isogroup01524_Past","N0.HOG0003150","Siderastrea_Mexico_Barshis-Radice_Host_contig16629"
"146","isotig03263_Past","isogroup01531_Past","N0.HOG0001910","Siderastrea_Mexico_Barshis-Radice_Host_contig05649"
"147","isotig03269_Past","isogroup01537_Past","N0.HOG0003266","Siderastrea_Mexico_Barshis-Radice_Host_contig02376"
"148","isotig03273_Past","isogroup01541_Past","N0.HOG0003250","Siderastrea_Mexico_Barshis-Radice_Host_contig14531"
"149","isotig03276_Past","isogroup01544_Past","N0.HOG0003194","Siderastrea_Mexico_Barshis-Radice_Host_contig06809"
"150","isotig03278_Past","isogroup01546_Past","N0.HOG0002706","Siderastrea_Mexico_Barshis-Radice_Host_contig11720"
"151","isotig03289_Past","isogroup01557_Past","N0.HOG0002868","Siderastrea_Mexico_Barshis-Radice_Host_contig06611"
"152","isotig03291_Past","isogroup01559_Past","N0.HOG0001575","Siderastrea_Mexico_Barshis-Radice_Host_contig02706"
"153","isotig03294_Past","isogroup01562_Past","N0.HOG0000052","Siderastrea_Mexico_Barshis-Radice_Host_contig09480"
"154","isotig03295_Past","isogroup01563_Past","N0.HOG0003368","Siderastrea_Mexico_Barshis-Radice_Host_contig10912"
"155","isotig03300_Past","isogroup01568_Past","N0.HOG0002341","Siderastrea_Mexico_Barshis-Radice_Host_contig02289"
"156","isotig03309_Past","isogroup01577_Past","N0.HOG0003204","Siderastrea_Mexico_Barshis-Radice_Host_contig13188"
"157","isotig03315_Past","isogroup01583_Past","N0.HOG0001590","Siderastrea_Mexico_Barshis-Radice_Host_contig12291"
"158","isotig03320_Past","isogroup01588_Past","N0.HOG0002135","Siderastrea_Mexico_Barshis-Radice_Host_contig14447"
"159","isotig03324_Past","isogroup01592_Past","N0.HOG0002878","Siderastrea_Mexico_Barshis-Radice_Host_contig01494"
"160","isotig03326_Past","isogroup01594_Past","N0.HOG0001949","Siderastrea_Mexico_Barshis-Radice_Host_contig06836"
"161","isotig03328_Past","isogroup01596_Past","N0.HOG0001850","Siderastrea_Mexico_Barshis-Radice_Host_contig05853"
"162","isotig03334_Past","isogroup01602_Past","N0.HOG0002327","Siderastrea_Mexico_Barshis-Radice_Host_contig09955"
"163","isotig03337_Past","isogroup01605_Past","N0.HOG0001794","Siderastrea_Mexico_Barshis-Radice_Host_contig07594"
"164","isotig03350_Past","isogroup01618_Past","N0.HOG0000520","Siderastrea_Mexico_Barshis-Radice_Host_contig05965"
"165","isotig03351_Past","isogroup01619_Past","N0.HOG0002416","Siderastrea_Mexico_Barshis-Radice_Host_contig04942"
"166","isotig03355_Past","isogroup01623_Past","N0.HOG0002739","Siderastrea_Mexico_Barshis-Radice_Host_contig09339"
"167","isotig03356_Past","isogroup01624_Past","N0.HOG0002870","Siderastrea_Mexico_Barshis-Radice_Host_contig08631"
"168","isotig03364_Past","isogroup01632_Past","N0.HOG0002793","Siderastrea_Mexico_Barshis-Radice_Host_contig09616"
"169","isotig03370_Past","isogroup01638_Past","N0.HOG0002978","Siderastrea_Mexico_Barshis-Radice_Host_contig18269"
"170","isotig03371_Past","isogroup01639_Past","N0.HOG0003294","Siderastrea_Mexico_Barshis-Radice_Host_contig10977"
"171","isotig03374_Past","isogroup01642_Past","N0.HOG0002636","Siderastrea_Mexico_Barshis-Radice_Host_contig06754"
"172","isotig03382_Past","isogroup01650_Past","N0.HOG0002197","Siderastrea_Mexico_Barshis-Radice_Host_contig15478"
"173","isotig03385_Past","isogroup01653_Past","N0.HOG0001841","Siderastrea_Mexico_Barshis-Radice_Host_contig16544"
"174","isotig03388_Past","isogroup01656_Past","N0.HOG0002827","Siderastrea_Mexico_Barshis-Radice_Host_contig01320"
"175","isotig03392_Past","isogroup01660_Past","N0.HOG0001693","Siderastrea_Mexico_Barshis-Radice_Host_contig17351"
"176","isotig03400_Past","isogroup01668_Past","N0.HOG0003554","Siderastrea_Mexico_Barshis-Radice_Host_contig04052"
"177","isotig03406_Past","isogroup01674_Past","N0.HOG0003306","Siderastrea_Mexico_Barshis-Radice_Host_contig14792"
"178","isotig03413_Past","isogroup01681_Past","N0.HOG0002918","Siderastrea_Mexico_Barshis-Radice_Host_contig07396"
"179","isotig03416_Past","isogroup01684_Past","N0.HOG0003296","Siderastrea_Mexico_Barshis-Radice_Host_contig13976"
"180","isotig03419_Past","isogroup01687_Past","N0.HOG0002088","Siderastrea_Mexico_Barshis-Radice_Host_contig05687"
"181","isotig03434_Past","isogroup01702_Past","N0.HOG0003547","Siderastrea_Mexico_Barshis-Radice_Host_contig03853"
"182","isotig03441_Past","isogroup01709_Past","N0.HOG0002733","Siderastrea_Mexico_Barshis-Radice_Host_contig13810"
"183","isotig03447_Past","isogroup01715_Past","N0.HOG0003044","Siderastrea_Mexico_Barshis-Radice_Host_contig12328"
"184","isotig03448_Past","isogroup01716_Past","N0.HOG0000636","Siderastrea_Mexico_Barshis-Radice_Host_contig04784"
"185","isotig03449_Past","isogroup01717_Past","N0.HOG0000685","Siderastrea_Mexico_Barshis-Radice_Host_contig14234"
"186","isotig03452_Past","isogroup01720_Past","N0.HOG0003318","Siderastrea_Mexico_Barshis-Radice_Host_contig06292"
"187","isotig03454_Past","isogroup01722_Past","N0.HOG0001409","Siderastrea_Mexico_Barshis-Radice_Host_contig04249"
"188","isotig03457_Past","isogroup01725_Past","N0.HOG0001629","Siderastrea_Mexico_Barshis-Radice_Host_contig18254"
"189","isotig03465_Past","isogroup01733_Past","N0.HOG0003046","Siderastrea_Mexico_Barshis-Radice_Host_contig03933"
"190","isotig03466_Past","isogroup01734_Past","N0.HOG0003574","Siderastrea_Mexico_Barshis-Radice_Host_contig11668"
"191","isotig03482_Past","isogroup01750_Past","N0.HOG0003622","Siderastrea_Mexico_Barshis-Radice_Host_contig18088"
"192","isotig03483_Past","isogroup01751_Past","N0.HOG0003004","Siderastrea_Mexico_Barshis-Radice_Host_contig08644"
"193","isotig03488_Past","isogroup01756_Past","N0.HOG0002244","Siderastrea_Mexico_Barshis-Radice_Host_contig09050"
"194","isotig03494_Past","isogroup01762_Past","N0.HOG0002579","Siderastrea_Mexico_Barshis-Radice_Host_contig09949"
"195","isotig03504_Past","isogroup01772_Past","N0.HOG0003571","Siderastrea_Mexico_Barshis-Radice_Host_contig15666"
"196","isotig03506_Past","isogroup01774_Past","N0.HOG0001492","Siderastrea_Mexico_Barshis-Radice_Host_contig06007"
"197","isotig03508_Past","isogroup01776_Past","N0.HOG0003214","Siderastrea_Mexico_Barshis-Radice_Host_contig15377"
"198","isotig03509_Past","isogroup01777_Past","N0.HOG0001530","Siderastrea_Mexico_Barshis-Radice_Host_contig00520"
"199","isotig03511_Past","isogroup01779_Past","N0.HOG0003092","Siderastrea_Mexico_Barshis-Radice_Host_contig01080"
"200","isotig03513_Past","isogroup01781_Past","N0.HOG0002097","Siderastrea_Mexico_Barshis-Radice_Host_contig14097"
"201","isotig03515_Past","isogroup01783_Past","N0.HOG0003518","Siderastrea_Mexico_Barshis-Radice_Host_contig19046"
"202","isotig03527_Past","isogroup01795_Past","N0.HOG0002024","Siderastrea_Mexico_Barshis-Radice_Host_contig06570"
"203","isotig03531_Past","isogroup01799_Past","N0.HOG0003386","Siderastrea_Mexico_Barshis-Radice_Host_contig13690"
"204","isotig03541_Past","isogroup01809_Past","N0.HOG0003145","Siderastrea_Mexico_Barshis-Radice_Host_contig12488"
"205","isotig03543_Past","isogroup01811_Past","N0.HOG0003088","Siderastrea_Mexico_Barshis-Radice_Host_contig16303"
"206","isotig03544_Past","isogroup01812_Past","N0.HOG0002722","Siderastrea_Mexico_Barshis-Radice_Host_contig16806"
"207","isotig03545_Past","isogroup01813_Past","N0.HOG0002937","Siderastrea_Mexico_Barshis-Radice_Host_contig06424"
"208","isotig03572_Past","isogroup01840_Past","N0.HOG0002615","Siderastrea_Mexico_Barshis-Radice_Host_contig11299"
"209","isotig03578_Past","isogroup01846_Past","N0.HOG0002450","Siderastrea_Mexico_Barshis-Radice_Host_contig12412"
"210","isotig03579_Past","isogroup01847_Past","N0.HOG0003140","Siderastrea_Mexico_Barshis-Radice_Host_contig14255"
"211","isotig03580_Past","isogroup01848_Past","N0.HOG0003116","Siderastrea_Mexico_Barshis-Radice_Host_contig10098"
"212","isotig03586_Past","isogroup01854_Past","N0.HOG0003084","Siderastrea_Mexico_Barshis-Radice_Host_contig11630"
"213","isotig03594_Past","isogroup01862_Past","N0.HOG0002295","Siderastrea_Mexico_Barshis-Radice_Host_contig18299"
"214","isotig03608_Past","isogroup01876_Past","N0.HOG0002909","Siderastrea_Mexico_Barshis-Radice_Host_contig16846"
"215","isotig03614_Past","isogroup01882_Past","N0.HOG0003511","Siderastrea_Mexico_Barshis-Radice_Host_contig06888"
"216","isotig03622_Past","isogroup01890_Past","N0.HOG0003337","Siderastrea_Mexico_Barshis-Radice_Host_contig06842"
"217","isotig03628_Past","isogroup01896_Past","N0.HOG0002565","Siderastrea_Mexico_Barshis-Radice_Host_contig11489"
"218","isotig03630_Past","isogroup01898_Past","N0.HOG0002287","Siderastrea_Mexico_Barshis-Radice_Host_contig04376"
"219","isotig03631_Past","isogroup01899_Past","N0.HOG0002071","Siderastrea_Mexico_Barshis-Radice_Host_contig18222"
"220","isotig03636_Past","isogroup01904_Past","N0.HOG0003118","Siderastrea_Mexico_Barshis-Radice_Host_contig11067"
"221","isotig03650_Past","isogroup01918_Past","N0.HOG0002651","Siderastrea_Mexico_Barshis-Radice_Host_contig06664"
"222","isotig03651_Past","isogroup01919_Past","N0.HOG0003598","Siderastrea_Mexico_Barshis-Radice_Host_contig09799"
"223","isotig03655_Past","isogroup01923_Past","N0.HOG0001704","Siderastrea_Mexico_Barshis-Radice_Host_contig00467"
"224","isotig03661_Past","isogroup01929_Past","N0.HOG0003578","Siderastrea_Mexico_Barshis-Radice_Host_contig03808"
"225","isotig03671_Past","isogroup01939_Past","N0.HOG0002180","Siderastrea_Mexico_Barshis-Radice_Host_contig02748"
