Orthogroup	Duplications (all)	Duplications (50% support)
OG0000236	4	4
OG0000237	4	4
OG0000238	4	4
OG0000239	4	4
OG0000240	4	4
OG0000241	4	4
OG0000242	4	4
OG0000243	4	4
OG0000244	4	4
OG0000245	4	4
OG0000246	4	4
OG0000247	4	4
OG0000248	4	4
OG0000249	4	4
OG0000250	4	4
OG0000251	4	4
OG0000252	4	4
OG0000253	4	4
OG0000254	4	4
OG0000255	4	4
OG0000256	4	4
OG0000257	4	4
OG0000258	4	4
OG0000259	4	4
OG0000260	4	4
OG0000261	4	4
OG0000262	4	4
OG0000263	4	4
OG0000264	4	4
OG0000265	4	4
OG0000266	4	4
OG0000267	4	4
OG0000268	4	4
OG0000269	4	4
OG0000270	4	4
OG0000271	4	4
OG0000272	4	4
OG0000273	4	4
OG0000274	4	4
OG0000275	4	4
OG0000276	4	4
OG0000277	4	4
OG0000278	4	4
OG0000279	4	4
OG0000280	4	4
OG0000281	4	4
OG0000282	4	4
OG0000283	4	4
OG0000284	2	2
OG0000285	3	3
OG0000286	2	2
OG0000287	2	2
OG0000288	2	2
OG0000289	2	2
OG0000290	2	2
OG0000291	3	3
OG0000292	1	1
OG0000293	3	3
OG0000294	1	1
OG0000295	3	3
OG0000296	3	3
OG0000297	3	3
OG0000298	1	1
OG0000299	2	2
OG0000300	3	3
OG0000301	3	3
OG0000302	3	3
OG0000303	3	3
OG0000304	3	3
OG0000305	3	3
OG0000306	2	2
OG0000307	3	3
OG0000308	1	1
OG0000309	3	3
OG0000310	2	2
OG0000311	2	2
OG0000312	2	2
OG0000313	3	3
OG0000314	1	1
OG0000315	1	1
OG0000316	3	3
OG0000317	3	3
OG0000318	3	3
OG0000319	3	3
OG0000320	3	3
OG0000321	2	2
OG0000322	1	1
OG0000323	2	2
OG0000324	1	1
OG0000325	1	1
OG0000326	3	3
OG0000327	2	2
OG0000328	2	2
OG0000329	3	3
OG0000330	3	3
OG0000331	2	2
OG0000332	1	1
OG0000333	2	2
OG0000334	2	2
OG0000335	2	2
OG0000336	2	2
OG0000337	2	2
OG0000338	2	2
OG0000339	2	2
OG0000340	3	3
OG0000341	2	2
OG0000342	2	2
OG0000343	2	2
OG0000344	2	2
OG0000345	2	2
OG0000346	2	2
OG0000347	2	2
OG0000348	2	2
OG0000349	1	1
OG0000350	2	2
OG0000351	1	1
OG0000352	2	2
OG0000353	1	1
OG0000354	2	2
OG0000355	2	2
OG0000356	2	2
OG0000357	2	2
OG0000358	2	2
OG0000359	2	2
OG0000360	2	2
OG0000361	2	2
OG0000362	2	2
OG0000363	2	2
OG0000364	2	2
OG0000365	2	2
OG0000366	2	2
OG0000367	2	2
OG0000368	2	2
OG0000369	1	1
OG0000370	2	2
OG0000371	2	2
OG0000372	2	2
OG0000373	2	2
OG0000374	3	3
OG0000375	3	3
OG0000376	3	3
OG0000377	3	3
OG0000378	3	3
OG0000379	3	3
OG0000380	3	3
OG0000381	3	3
OG0000382	3	3
OG0000383	3	3
OG0000384	3	3
OG0000385	3	3
OG0000386	3	3
OG0000387	3	3
OG0000388	3	3
OG0000389	3	3
OG0000390	3	3
OG0000391	3	3
OG0000392	3	3
OG0000393	3	3
OG0000394	3	3
OG0000395	3	3
OG0000396	3	3
OG0000397	3	3
OG0000398	3	3
OG0000399	3	3
OG0000400	3	3
OG0000401	3	3
OG0000402	3	3
OG0000403	3	3
OG0000404	3	3
OG0000405	3	3
OG0000406	3	3
OG0000407	3	3
OG0000408	3	3
OG0000409	3	3
OG0000410	3	3
OG0000411	3	3
OG0000412	3	3
OG0000413	3	3
OG0000414	3	3
OG0000415	3	3
OG0000416	3	3
OG0000417	3	3
OG0000418	3	3
OG0000419	3	3
OG0000420	3	3
OG0000421	3	3
OG0000422	3	3
OG0000423	3	3
OG0000424	3	3
OG0000425	3	3
OG0000426	3	3
OG0000427	3	3
OG0000428	3	3
OG0000429	3	3
OG0000430	3	3
OG0000431	3	3
OG0000432	3	3
OG0000433	3	3
OG0000434	3	3
OG0000435	3	3
OG0000436	3	3
OG0000437	3	3
OG0000438	3	3
OG0000439	3	3
OG0000440	3	3
OG0000441	3	3
OG0000442	3	3
OG0000443	3	3
OG0000444	3	3
OG0000445	3	3
OG0000446	3	3
OG0000447	3	3
OG0000448	3	3
OG0000449	3	3
OG0000450	3	3
OG0000451	3	3
OG0000452	3	3
OG0000453	3	3
OG0000454	3	3
OG0000455	3	3
OG0000456	3	3
OG0000457	3	3
OG0000458	3	3
OG0000459	3	3
OG0000460	3	3
OG0000461	3	3
OG0000462	3	3
OG0000463	3	3
OG0000464	3	3
OG0000465	3	3
OG0000466	3	3
OG0000467	3	3
OG0000468	3	3
OG0000469	3	3
OG0000470	3	3
OG0000471	3	3
OG0000472	3	3
OG0000473	3	3
OG0000474	3	3
OG0000475	3	3
OG0000476	3	3
OG0000477	3	3
OG0000478	3	3
OG0000479	3	3
OG0000480	3	3
OG0000481	3	3
OG0000482	3	3
OG0000483	3	3
OG0000484	3	3
OG0000485	3	3
OG0000486	3	3
OG0000487	3	3
OG0000488	3	3
